model,condition,sample_id,run_type,dep_str,alt_str,n_tokens,dep_id,alt_id,close_id,logit_dep,logit_alt,logit_close,LD_copy,LD_inclusion,copy_error
llama3.2-1b,useEffect,sub_01,clean,page,ref,41,2964,1116,60,26.339202880859375,22.929391860961914,12.303529739379883,3.409811019897461,14.035673141479492,10.625862121582031
llama3.2-1b,useEffect,sub_01,corrupted,page,ref,41,2964,1116,60,23.708711624145508,26.172189712524414,12.653887748718262,-2.4634780883789062,11.054823875427246,13.518301963806152
llama3.2-1b,useLayoutEffect,sub_01,clean,page,ref,43,2964,1116,60,26.083526611328125,22.90057945251465,12.627420425415039,3.1829471588134766,13.456106185913086,10.27315902709961
llama3.2-1b,useLayoutEffect,sub_01,corrupted,page,ref,43,2964,1116,60,23.4235782623291,25.911531448364258,12.977715492248535,-2.4879531860351562,10.445862770080566,12.933815956115723
llama3.2-1b,alias,sub_01,clean,page,ref,48,2964,1116,60,25.677499771118164,22.83726692199707,12.010869979858398,2.8402328491210938,13.666629791259766,10.826396942138672
llama3.2-1b,alias,sub_01,corrupted,page,ref,48,2964,1116,60,24.114702224731445,25.565406799316406,12.116290092468262,-1.450704574584961,11.998412132263184,13.449116706848145
llama3.2-1b,alias_ctrl,sub_01,clean,page,ref,59,2964,1116,60,24.993507385253906,22.610736846923828,11.49231243133545,2.382770538330078,13.501194953918457,11.118424415588379
llama3.2-1b,alias_ctrl,sub_01,corrupted,page,ref,59,2964,1116,60,23.831022262573242,24.735090255737305,11.439679145812988,-0.9040679931640625,12.391343116760254,13.295411109924316
llama3.2-1b,subscribe,sub_01,clean,page,ref,52,2964,1116,60,24.854419708251953,23.600521087646484,11.817773818969727,1.2538986206054688,13.036645889282227,11.782747268676758
llama3.2-1b,subscribe,sub_01,corrupted,page,ref,52,2964,1116,60,24.181791305541992,24.12053871154785,11.611733436584473,0.061252593994140625,12.57005786895752,12.508805274963379
llama3.2-1b,useEffect,sub_02,clean,status,cap,39,2899,11600,60,26.515304565429688,20.892513275146484,12.609150886535645,5.622791290283203,13.906153678894043,8.28336238861084
llama3.2-1b,useEffect,sub_02,corrupted,status,cap,39,2899,11600,60,23.625749588012695,24.94050407409668,12.694331169128418,-1.3147544860839844,10.931418418884277,12.246172904968262
llama3.2-1b,useLayoutEffect,sub_02,clean,status,cap,41,2899,11600,60,26.346752166748047,21.144289016723633,12.990104675292969,5.202463150024414,13.356647491455078,8.154184341430664
llama3.2-1b,useLayoutEffect,sub_02,corrupted,status,cap,41,2899,11600,60,23.558000564575195,24.809659957885742,13.117154121398926,-1.2516593933105469,10.44084644317627,11.692505836486816
llama3.2-1b,alias,sub_02,clean,status,cap,46,2899,11600,60,25.549352645874023,21.873287200927734,12.240504264831543,3.676065444946289,13.30884838104248,9.632782936096191
llama3.2-1b,alias,sub_02,corrupted,status,cap,46,2899,11600,60,23.59642791748047,24.02374839782715,12.149003028869629,-0.4273204803466797,11.44742488861084,11.87474536895752
llama3.2-1b,alias_ctrl,sub_02,clean,status,cap,57,2899,11600,60,25.11549949645996,22.245508193969727,11.989099502563477,2.8699913024902344,13.126399993896484,10.25640869140625
llama3.2-1b,alias_ctrl,sub_02,corrupted,status,cap,57,2899,11600,60,23.86935043334961,23.075029373168945,11.783348083496094,0.7943210601806641,12.086002349853516,11.291681289672852
llama3.2-1b,subscribe,sub_02,clean,status,cap,50,2899,11600,60,25.307275772094727,22.89731216430664,12.13005256652832,2.409963607788086,13.177223205566406,10.76725959777832
llama3.2-1b,subscribe,sub_02,corrupted,status,cap,50,2899,11600,60,24.32720184326172,23.14104652404785,11.948923110961914,1.1861553192138672,12.378278732299805,11.192123413085938
llama3.2-1b,useEffect,sub_03,clean,mode,max,41,8684,2880,60,27.03215217590332,20.866622924804688,13.28866958618164,6.165529251098633,13.74348258972168,7.577953338623047
llama3.2-1b,useEffect,sub_03,corrupted,mode,max,41,8684,2880,60,24.356801986694336,25.34224510192871,13.648624420166016,-0.985443115234375,10.70817756652832,11.693620681762695
llama3.2-1b,useLayoutEffect,sub_03,clean,mode,max,43,8684,2880,60,26.971065521240234,21.155933380126953,13.606156349182129,5.815132141113281,13.364909172058105,7.549777030944824
llama3.2-1b,useLayoutEffect,sub_03,corrupted,mode,max,43,8684,2880,60,24.555936813354492,25.147716522216797,13.885608673095703,-0.5917797088623047,10.670328140258789,11.262107849121094
llama3.2-1b,alias,sub_03,clean,mode,max,48,8684,2880,60,25.57625961303711,21.870637893676758,12.97043228149414,3.7056217193603516,12.605827331542969,8.900205612182617
llama3.2-1b,alias,sub_03,corrupted,mode,max,48,8684,2880,60,23.724308013916016,25.01299476623535,13.191139221191406,-1.288686752319336,10.53316879272461,11.821855545043945
llama3.2-1b,alias_ctrl,sub_03,clean,mode,max,59,8684,2880,60,24.994796752929688,21.79927635192871,12.572258949279785,3.1955204010009766,12.422537803649902,9.227017402648926
llama3.2-1b,alias_ctrl,sub_03,corrupted,mode,max,59,8684,2880,60,23.491500854492188,23.810367584228516,12.702469825744629,-0.3188667297363281,10.789031028747559,11.107897758483887
llama3.2-1b,subscribe,sub_03,clean,mode,max,52,8684,2880,60,24.752676010131836,22.270076751708984,12.408007621765137,2.4825992584228516,12.3446683883667,9.862069129943848
llama3.2-1b,subscribe,sub_03,corrupted,mode,max,52,8684,2880,60,23.73273468017578,23.806753158569336,12.776904106140137,-0.07401847839355469,10.955830574035645,11.0298490524292
llama3.2-1b,useEffect,sub_04,clean,index,len,42,1275,2963,60,27.313867568969727,23.203670501708984,12.30230712890625,4.110197067260742,15.011560440063477,10.901363372802734
llama3.2-1b,useEffect,sub_04,corrupted,index,len,42,1275,2963,60,23.650747299194336,25.713027954101562,12.900955200195312,-2.0622806549072266,10.749792098999023,12.81207275390625
llama3.2-1b,useLayoutEffect,sub_04,clean,index,len,44,1275,2963,60,27.077646255493164,23.17753028869629,12.727628707885742,3.900115966796875,14.350017547607422,10.449901580810547
llama3.2-1b,useLayoutEffect,sub_04,corrupted,index,len,44,1275,2963,60,23.588523864746094,25.065513610839844,13.014222145080566,-1.47698974609375,10.574301719665527,12.051291465759277
llama3.2-1b,alias,sub_04,clean,index,len,49,1275,2963,60,26.474721908569336,22.706615447998047,11.830370903015137,3.768106460571289,14.6443510055542,10.87624454498291
llama3.2-1b,alias,sub_04,corrupted,index,len,49,1275,2963,60,23.425539016723633,25.278879165649414,12.253527641296387,-1.8533401489257812,11.172011375427246,13.025351524353027
llama3.2-1b,alias_ctrl,sub_04,clean,index,len,60,1275,2963,60,25.2364501953125,22.802148818969727,11.52287769317627,2.4343013763427734,13.71357250213623,11.279271125793457
llama3.2-1b,alias_ctrl,sub_04,corrupted,index,len,60,1275,2963,60,23.19449806213379,24.375295639038086,11.836522102355957,-1.1807975769042969,11.357975959777832,12.538773536682129
llama3.2-1b,subscribe,sub_04,clean,index,len,53,1275,2963,60,25.08968734741211,23.183868408203125,11.673460006713867,1.9058189392089844,13.416227340698242,11.510408401489258
llama3.2-1b,subscribe,sub_04,corrupted,index,len,53,1275,2963,60,23.519088745117188,24.402572631835938,11.989675521850586,-0.88348388671875,11.529413223266602,12.412897109985352
llama3.2-1b,useEffect,sub_05,clean,flag,min,40,10104,1083,60,26.903709411621094,23.22391700744629,12.922892570495605,3.6797924041748047,13.980816841125488,10.301024436950684
llama3.2-1b,useEffect,sub_05,corrupted,flag,min,40,10104,1083,60,24.75821304321289,25.746488571166992,13.614273071289062,-0.9882755279541016,11.143939971923828,12.13221549987793
llama3.2-1b,useLayoutEffect,sub_05,clean,flag,min,42,10104,1083,60,26.887453079223633,23.498483657836914,13.42845630645752,3.3889694213867188,13.458996772766113,10.070027351379395
llama3.2-1b,useLayoutEffect,sub_05,corrupted,flag,min,42,10104,1083,60,24.7503662109375,25.815765380859375,13.930676460266113,-1.065399169921875,10.819689750671387,11.885088920593262
llama3.2-1b,alias,sub_05,clean,flag,min,47,10104,1083,60,25.8200626373291,23.958162307739258,12.34583854675293,1.8619003295898438,13.474224090576172,11.612323760986328
llama3.2-1b,alias,sub_05,corrupted,flag,min,47,10104,1083,60,24.63725471496582,25.17800521850586,12.628969192504883,-0.5407505035400391,12.008285522460938,12.549036026000977
llama3.2-1b,alias_ctrl,sub_05,clean,flag,min,58,10104,1083,60,25.150569915771484,23.85984992980957,12.035853385925293,1.290719985961914,13.114716529846191,11.823996543884277
llama3.2-1b,alias_ctrl,sub_05,corrupted,flag,min,58,10104,1083,60,24.458532333374023,24.372568130493164,12.115059852600098,0.08596420288085938,12.343472480773926,12.257508277893066
llama3.2-1b,subscribe,sub_05,clean,flag,min,51,10104,1083,60,25.13774871826172,23.956315994262695,11.900688171386719,1.1814327239990234,13.237060546875,12.055627822875977
llama3.2-1b,subscribe,sub_05,corrupted,flag,min,51,10104,1083,60,24.65381622314453,24.221521377563477,12.022191047668457,0.4322948455810547,12.631625175476074,12.19933032989502
llama3.2-1b,useEffect,sub_06,clean,tag,num,42,4681,2470,60,26.342716217041016,22.39046859741211,12.407303810119629,3.9522476196289062,13.935412406921387,9.98316478729248
llama3.2-1b,useEffect,sub_06,corrupted,tag,num,42,4681,2470,60,23.884624481201172,25.35055160522461,12.961167335510254,-1.4659271240234375,10.923457145690918,12.389384269714355
llama3.2-1b,useLayoutEffect,sub_06,clean,tag,num,44,4681,2470,60,26.255895614624023,22.412397384643555,12.74507999420166,3.8434982299804688,13.510815620422363,9.667317390441895
llama3.2-1b,useLayoutEffect,sub_06,corrupted,tag,num,44,4681,2470,60,23.79094886779785,25.05067253112793,13.164551734924316,-1.2597236633300781,10.626397132873535,11.886120796203613
llama3.2-1b,alias,sub_06,clean,tag,num,49,4681,2470,60,25.69817543029785,22.517324447631836,12.1727876663208,3.1808509826660156,13.52538776397705,10.344536781311035
llama3.2-1b,alias,sub_06,corrupted,tag,num,49,4681,2470,60,24.189327239990234,24.813371658325195,12.415423393249512,-0.6240444183349609,11.773903846740723,12.397948265075684
llama3.2-1b,alias_ctrl,sub_06,clean,tag,num,60,4681,2470,60,25.246652603149414,22.24758529663086,11.936959266662598,2.9990673065185547,13.309693336486816,10.310626029968262
llama3.2-1b,alias_ctrl,sub_06,corrupted,tag,num,60,4681,2470,60,24.161352157592773,23.40692901611328,12.161205291748047,0.7544231414794922,12.000146865844727,11.245723724365234
llama3.2-1b,subscribe,sub_06,clean,tag,num,53,4681,2470,60,25.158239364624023,22.59200096130371,11.992727279663086,2.5662384033203125,13.165512084960938,10.599273681640625
llama3.2-1b,subscribe,sub_06,corrupted,tag,num,53,4681,2470,60,24.557720184326172,23.128358840942383,12.326577186584473,1.429361343383789,12.2311429977417,10.80178165435791
llama3.2-1b,useEffect,sub_07,clean,title,ref,40,2150,1116,60,26.038496017456055,22.892667770385742,12.271574020385742,3.1458282470703125,13.766921997070312,10.62109375
llama3.2-1b,useEffect,sub_07,corrupted,title,ref,40,2150,1116,60,22.46152687072754,26.185367584228516,12.58290958404541,-3.7238407135009766,9.878617286682129,13.602458000183105
llama3.2-1b,useLayoutEffect,sub_07,clean,title,ref,42,2150,1116,60,25.846193313598633,22.916887283325195,12.695209503173828,2.9293060302734375,13.150983810424805,10.221677780151367
llama3.2-1b,useLayoutEffect,sub_07,corrupted,title,ref,42,2150,1116,60,21.956167221069336,26.041343688964844,12.952254295349121,-4.085176467895508,9.003912925720215,13.089089393615723
llama3.2-1b,alias,sub_07,clean,title,ref,47,2150,1116,60,25.455772399902344,22.814647674560547,12.165279388427734,2.641124725341797,13.29049301147461,10.649368286132812
llama3.2-1b,alias,sub_07,corrupted,title,ref,47,2150,1116,60,22.810293197631836,25.59571647644043,12.293465614318848,-2.7854232788085938,10.516827583312988,13.302250862121582
llama3.2-1b,alias_ctrl,sub_07,clean,title,ref,58,2150,1116,60,24.34251594543457,22.5603084564209,11.490108489990234,1.7822074890136719,12.852407455444336,11.070199966430664
llama3.2-1b,alias_ctrl,sub_07,corrupted,title,ref,58,2150,1116,60,22.929227828979492,24.342248916625977,11.432984352111816,-1.4130210876464844,11.496243476867676,12.90926456451416
llama3.2-1b,subscribe,sub_07,clean,title,ref,51,2150,1116,60,24.434551239013672,23.20397186279297,11.751609802246094,1.2305793762207031,12.682941436767578,11.452362060546875
llama3.2-1b,subscribe,sub_07,corrupted,title,ref,51,2150,1116,60,23.615076065063477,23.690067291259766,11.450685501098633,-0.07499122619628906,12.164390563964844,12.239381790161133
llama3.2-1b,useEffect,sub_08,clean,color,val,40,3506,838,60,25.702392578125,22.235029220581055,11.673189163208008,3.4673633575439453,14.029203414916992,10.561840057373047
llama3.2-1b,useEffect,sub_08,corrupted,color,val,40,3506,838,60,22.149669647216797,25.945093154907227,13.248967170715332,-3.7954235076904297,8.900702476501465,12.696125984191895
llama3.2-1b,useLayoutEffect,sub_08,clean,color,val,42,3506,838,60,25.437105178833008,22.175376892089844,12.000814437866211,3.261728286743164,13.436290740966797,10.174562454223633
llama3.2-1b,useLayoutEffect,sub_08,corrupted,color,val,42,3506,838,60,22.09454917907715,25.61777114868164,13.409638404846191,-3.523221969604492,8.684910774230957,12.20813274383545
llama3.2-1b,alias,sub_08,clean,color,val,47,3506,838,60,24.55426788330078,21.901268005371094,11.399246215820312,2.6529998779296875,13.155021667480469,10.502021789550781
llama3.2-1b,alias,sub_08,corrupted,color,val,47,3506,838,60,22.499401092529297,25.164451599121094,12.5480318069458,-2.665050506591797,9.951369285583496,12.616419792175293
llama3.2-1b,alias_ctrl,sub_08,clean,color,val,58,3506,838,60,23.8780460357666,22.385196685791016,10.810416221618652,1.492849349975586,13.06762981414795,11.574780464172363
llama3.2-1b,alias_ctrl,sub_08,corrupted,color,val,58,3506,838,60,22.7098331451416,24.141639709472656,11.424362182617188,-1.4318065643310547,11.285470962524414,12.717277526855469
llama3.2-1b,subscribe,sub_08,clean,color,val,51,3506,838,60,23.94021987915039,23.217941284179688,10.9362154006958,0.7222785949707031,13.00400447845459,12.281725883483887
llama3.2-1b,subscribe,sub_08,corrupted,color,val,51,3506,838,60,23.51276397705078,24.13971710205078,11.297760963439941,-0.626953125,12.21500301361084,12.84195613861084
llama3.2-1b,useEffect,sub_09,clean,text,base,39,1342,3231,60,26.286102294921875,22.459794998168945,11.342456817626953,3.8263072967529297,14.943645477294922,11.117338180541992
llama3.2-1b,useEffect,sub_09,corrupted,text,base,39,1342,3231,60,23.114641189575195,25.582664489746094,12.021112442016602,-2.4680233001708984,11.093528747558594,13.561552047729492
llama3.2-1b,useLayoutEffect,sub_09,clean,text,base,41,1342,3231,60,26.009199142456055,22.682100296020508,11.761370658874512,3.327098846435547,14.247828483581543,10.920729637145996
llama3.2-1b,useLayoutEffect,sub_09,corrupted,text,base,41,1342,3231,60,23.170866012573242,25.59189224243164,12.403304100036621,-2.4210262298583984,10.767561912536621,13.18858814239502
llama3.2-1b,alias,sub_09,clean,text,base,46,1342,3231,60,25.322877883911133,23.120534896850586,11.14321517944336,2.202342987060547,14.179662704467773,11.977319717407227
llama3.2-1b,alias,sub_09,corrupted,text,base,46,1342,3231,60,23.3621826171875,24.86750602722168,11.664860725402832,-1.5053234100341797,11.697321891784668,13.202645301818848
llama3.2-1b,alias_ctrl,sub_09,clean,text,base,57,1342,3231,60,24.304107666015625,22.469118118286133,10.645682334899902,1.8349895477294922,13.658425331115723,11.82343578338623
llama3.2-1b,alias_ctrl,sub_09,corrupted,text,base,57,1342,3231,60,23.13317108154297,23.402769088745117,10.758384704589844,-0.26959800720214844,12.374786376953125,12.644384384155273
llama3.2-1b,subscribe,sub_09,clean,text,base,50,1342,3231,60,24.551937103271484,22.931062698364258,10.892325401306152,1.6208744049072266,13.659611701965332,12.038737297058105
llama3.2-1b,subscribe,sub_09,corrupted,text,base,50,1342,3231,60,23.899873733520508,23.035980224609375,10.939043045043945,0.8638935089111328,12.960830688476562,12.09693717956543
llama3.2-1b,useEffect,sub_10,clean,id,num,41,307,2470,60,25.55904197692871,21.705642700195312,12.238856315612793,3.8533992767333984,13.320185661315918,9.46678638458252
