model,ablation,condition,bodyuse,pair_id,cell_id,state_role,decl_order,body_order,dep_var,alt_var,target_var,control_var,role_dep_useState_form,decl_dep_first,pos_dep_first,n_tokens,decl_to_bracket_token_distance,dep_id,alt_id,target_id,control_id,logit_dep,logit_alt,logit_target,logit_control,D,LD_stateform,LD_reactive,LD_stateform_direct
llama3.2-1b,B,useEffect,both,pair_01,pair_01_B_useEffect_dep_reactive_reactive_first,dep_reactive,reactive_first,dep_first,page,ref,page,ref,True,True,True,38,14,2964,1116,2964,1116,25.9375,24.96875,25.9375,24.96875,0.96875,0.96875,0.96875,0.96875
llama3.2-1b,B,subscribe,both,pair_01,pair_01_B_subscribe_dep_reactive_reactive_first,dep_reactive,reactive_first,dep_first,page,ref,page,ref,True,True,True,49,14,2964,1116,2964,1116,25.203125,23.703125,25.203125,23.703125,1.5,1.5,1.5,1.5
llama3.2-1b,B,plain_array,both,pair_01,pair_01_B_plain_array_dep_reactive_reactive_first,dep_reactive,reactive_first,dep_first,page,ref,page,ref,True,True,True,35,11,2964,1116,2964,1116,21.5625,20.046875,21.5625,20.046875,1.515625,1.515625,1.515625,1.515625
llama3.2-1b,B,return_array,both,pair_01,pair_01_B_return_array_dep_reactive_reactive_first,dep_reactive,reactive_first,dep_first,page,ref,page,ref,True,True,True,33,9,2964,1116,2964,1116,24.6875,21.390625,24.6875,21.390625,3.296875,3.296875,3.296875,3.296875
llama3.2-1b,B,useEffect,both,pair_01,pair_01_B_useEffect_dep_reactive_stable_first,dep_reactive,stable_first,dep_first,page,ref,page,ref,True,False,True,38,14,2964,1116,2964,1116,26.359375,25.5,26.359375,25.5,0.859375,0.859375,0.859375,0.859375
llama3.2-1b,B,subscribe,both,pair_01,pair_01_B_subscribe_dep_reactive_stable_first,dep_reactive,stable_first,dep_first,page,ref,page,ref,True,False,True,49,14,2964,1116,2964,1116,25.359375,24.734375,25.359375,24.734375,0.625,0.625,0.625,0.625
llama3.2-1b,B,plain_array,both,pair_01,pair_01_B_plain_array_dep_reactive_stable_first,dep_reactive,stable_first,dep_first,page,ref,page,ref,True,False,True,35,11,2964,1116,2964,1116,21.96875,21.03125,21.96875,21.03125,0.9375,0.9375,0.9375,0.9375
llama3.2-1b,B,return_array,both,pair_01,pair_01_B_return_array_dep_reactive_stable_first,dep_reactive,stable_first,dep_first,page,ref,page,ref,True,False,True,33,9,2964,1116,2964,1116,24.578125,22.59375,24.578125,22.59375,1.984375,1.984375,1.984375,1.984375
llama3.2-1b,B,useEffect,both,pair_01,pair_01_B_useEffect_alt_reactive_reactive_first,alt_reactive,reactive_first,alt_first,page,ref,ref,page,False,False,False,39,14,2964,1116,1116,2964,26.734375,26.046875,26.046875,26.734375,0.6875,-0.6875,-0.6875,-0.6875
llama3.2-1b,B,subscribe,both,pair_01,pair_01_B_subscribe_alt_reactive_reactive_first,alt_reactive,reactive_first,alt_first,page,ref,ref,page,False,False,False,50,14,2964,1116,1116,2964,26.0625,25.09375,25.09375,26.0625,0.96875,-0.96875,-0.96875,-0.96875
llama3.2-1b,B,plain_array,both,pair_01,pair_01_B_plain_array_alt_reactive_reactive_first,alt_reactive,reactive_first,alt_first,page,ref,ref,page,False,False,False,36,11,2964,1116,1116,2964,20.625,21.296875,21.296875,20.625,-0.671875,0.671875,0.671875,0.671875
llama3.2-1b,B,return_array,both,pair_01,pair_01_B_return_array_alt_reactive_reactive_first,alt_reactive,reactive_first,alt_first,page,ref,ref,page,False,False,False,34,9,2964,1116,1116,2964,22.90625,25.484375,25.484375,22.90625,-2.578125,2.578125,2.578125,2.578125
llama3.2-1b,B,useEffect,both,pair_01,pair_01_B_useEffect_alt_reactive_stable_first,alt_reactive,stable_first,alt_first,page,ref,ref,page,False,True,False,39,14,2964,1116,1116,2964,26.484375,26.015625,26.015625,26.484375,0.46875,-0.46875,-0.46875,-0.46875
llama3.2-1b,B,subscribe,both,pair_01,pair_01_B_subscribe_alt_reactive_stable_first,alt_reactive,stable_first,alt_first,page,ref,ref,page,False,True,False,50,14,2964,1116,1116,2964,26.171875,25.0625,25.0625,26.171875,1.109375,-1.109375,-1.109375,-1.109375
llama3.2-1b,B,plain_array,both,pair_01,pair_01_B_plain_array_alt_reactive_stable_first,alt_reactive,stable_first,alt_first,page,ref,ref,page,False,True,False,36,11,2964,1116,1116,2964,20.90625,20.125,20.125,20.90625,0.78125,-0.78125,-0.78125,-0.78125
llama3.2-1b,B,return_array,both,pair_01,pair_01_B_return_array_alt_reactive_stable_first,alt_reactive,stable_first,alt_first,page,ref,ref,page,False,True,False,34,9,2964,1116,1116,2964,23.96875,24.453125,24.453125,23.96875,-0.484375,0.484375,0.484375,0.484375
llama3.2-1b,B,useEffect,both,pair_02,pair_02_B_useEffect_dep_reactive_reactive_first,dep_reactive,reactive_first,dep_first,status,cap,status,cap,True,True,True,36,14,2899,11600,2899,11600,26.265625,23.546875,26.265625,23.546875,2.71875,2.71875,2.71875,2.71875
llama3.2-1b,B,subscribe,both,pair_02,pair_02_B_subscribe_dep_reactive_reactive_first,dep_reactive,reactive_first,dep_first,status,cap,status,cap,True,True,True,47,14,2899,11600,2899,11600,25.296875,22.875,25.296875,22.875,2.421875,2.421875,2.421875,2.421875
llama3.2-1b,B,plain_array,both,pair_02,pair_02_B_plain_array_dep_reactive_reactive_first,dep_reactive,reactive_first,dep_first,status,cap,status,cap,True,True,True,33,11,2899,11600,2899,11600,21.96875,18.71875,21.96875,18.71875,3.25,3.25,3.25,3.25
llama3.2-1b,B,return_array,both,pair_02,pair_02_B_return_array_dep_reactive_reactive_first,dep_reactive,reactive_first,dep_first,status,cap,status,cap,True,True,True,31,9,2899,11600,2899,11600,24.328125,19.484375,24.328125,19.484375,4.84375,4.84375,4.84375,4.84375
llama3.2-1b,B,useEffect,both,pair_02,pair_02_B_useEffect_dep_reactive_stable_first,dep_reactive,stable_first,dep_first,status,cap,status,cap,True,False,True,36,14,2899,11600,2899,11600,26.296875,24.53125,26.296875,24.53125,1.765625,1.765625,1.765625,1.765625
llama3.2-1b,B,subscribe,both,pair_02,pair_02_B_subscribe_dep_reactive_stable_first,dep_reactive,stable_first,dep_first,status,cap,status,cap,True,False,True,47,14,2899,11600,2899,11600,24.875,24.03125,24.875,24.03125,0.84375,0.84375,0.84375,0.84375
llama3.2-1b,B,plain_array,both,pair_02,pair_02_B_plain_array_dep_reactive_stable_first,dep_reactive,stable_first,dep_first,status,cap,status,cap,True,False,True,33,11,2899,11600,2899,11600,22.140625,19.703125,22.140625,19.703125,2.4375,2.4375,2.4375,2.4375
llama3.2-1b,B,return_array,both,pair_02,pair_02_B_return_array_dep_reactive_stable_first,dep_reactive,stable_first,dep_first,status,cap,status,cap,True,False,True,31,9,2899,11600,2899,11600,24.25,20.859375,24.25,20.859375,3.390625,3.390625,3.390625,3.390625
llama3.2-1b,B,useEffect,both,pair_02,pair_02_B_useEffect_alt_reactive_reactive_first,alt_reactive,reactive_first,alt_first,status,cap,cap,status,False,False,False,37,14,2899,11600,11600,2899,25.328125,26.421875,26.421875,25.328125,-1.09375,1.09375,1.09375,1.09375
llama3.2-1b,B,subscribe,both,pair_02,pair_02_B_subscribe_alt_reactive_reactive_first,alt_reactive,reactive_first,alt_first,status,cap,cap,status,False,False,False,48,14,2899,11600,11600,2899,24.546875,25.984375,25.984375,24.546875,-1.4375,1.4375,1.4375,1.4375
llama3.2-1b,B,plain_array,both,pair_02,pair_02_B_plain_array_alt_reactive_reactive_first,alt_reactive,reactive_first,alt_first,status,cap,cap,status,False,False,False,34,11,2899,11600,11600,2899,20.890625,22.484375,22.484375,20.890625,-1.59375,1.59375,1.59375,1.59375
llama3.2-1b,B,return_array,both,pair_02,pair_02_B_return_array_alt_reactive_reactive_first,alt_reactive,reactive_first,alt_first,status,cap,cap,status,False,False,False,32,9,2899,11600,11600,2899,21.75,24.640625,24.640625,21.75,-2.890625,2.890625,2.890625,2.890625
llama3.2-1b,B,useEffect,both,pair_02,pair_02_B_useEffect_alt_reactive_stable_first,alt_reactive,stable_first,alt_first,status,cap,cap,status,False,True,False,37,14,2899,11600,11600,2899,25.953125,26.546875,26.546875,25.953125,-0.59375,0.59375,0.59375,0.59375
llama3.2-1b,B,subscribe,both,pair_02,pair_02_B_subscribe_alt_reactive_stable_first,alt_reactive,stable_first,alt_first,status,cap,cap,status,False,True,False,48,14,2899,11600,11600,2899,25.328125,25.78125,25.78125,25.328125,-0.453125,0.453125,0.453125,0.453125
llama3.2-1b,B,plain_array,both,pair_02,pair_02_B_plain_array_alt_reactive_stable_first,alt_reactive,stable_first,alt_first,status,cap,cap,status,False,True,False,34,11,2899,11600,11600,2899,21.96875,22.8125,22.8125,21.96875,-0.84375,0.84375,0.84375,0.84375
llama3.2-1b,B,return_array,both,pair_02,pair_02_B_return_array_alt_reactive_stable_first,alt_reactive,stable_first,alt_first,status,cap,cap,status,False,True,False,32,9,2899,11600,11600,2899,23.046875,24.671875,24.671875,23.046875,-1.625,1.625,1.625,1.625
llama3.2-1b,B,useEffect,both,pair_03,pair_03_B_useEffect_dep_reactive_reactive_first,dep_reactive,reactive_first,dep_first,mode,max,mode,max,True,True,True,39,14,8684,2880,8684,2880,27.171875,24.0625,27.171875,24.0625,3.109375,3.109375,3.109375,3.109375
llama3.2-1b,B,subscribe,both,pair_03,pair_03_B_subscribe_dep_reactive_reactive_first,dep_reactive,reactive_first,dep_first,mode,max,mode,max,True,True,True,50,14,8684,2880,8684,2880,25.375,23.46875,25.375,23.46875,1.90625,1.90625,1.90625,1.90625
llama3.2-1b,B,plain_array,both,pair_03,pair_03_B_plain_array_dep_reactive_reactive_first,dep_reactive,reactive_first,dep_first,mode,max,mode,max,True,True,True,36,11,8684,2880,8684,2880,20.78125,19.78125,20.78125,19.78125,1.0,1.0,1.0,1.0
llama3.2-1b,B,return_array,both,pair_03,pair_03_B_return_array_dep_reactive_reactive_first,dep_reactive,reactive_first,dep_first,mode,max,mode,max,True,True,True,34,9,8684,2880,8684,2880,23.921875,20.75,23.921875,20.75,3.171875,3.171875,3.171875,3.171875
llama3.2-1b,B,useEffect,both,pair_03,pair_03_B_useEffect_dep_reactive_stable_first,dep_reactive,stable_first,dep_first,mode,max,mode,max,True,False,True,39,14,8684,2880,8684,2880,27.40625,24.6875,27.40625,24.6875,2.71875,2.71875,2.71875,2.71875
llama3.2-1b,B,subscribe,both,pair_03,pair_03_B_subscribe_dep_reactive_stable_first,dep_reactive,stable_first,dep_first,mode,max,mode,max,True,False,True,50,14,8684,2880,8684,2880,25.375,24.3125,25.375,24.3125,1.0625,1.0625,1.0625,1.0625
llama3.2-1b,B,plain_array,both,pair_03,pair_03_B_plain_array_dep_reactive_stable_first,dep_reactive,stable_first,dep_first,mode,max,mode,max,True,False,True,36,11,8684,2880,8684,2880,20.515625,20.3125,20.515625,20.3125,0.203125,0.203125,0.203125,0.203125
llama3.2-1b,B,return_array,both,pair_03,pair_03_B_return_array_dep_reactive_stable_first,dep_reactive,stable_first,dep_first,mode,max,mode,max,True,False,True,34,9,8684,2880,8684,2880,23.6875,21.5,23.6875,21.5,2.1875,2.1875,2.1875,2.1875
llama3.2-1b,B,useEffect,both,pair_03,pair_03_B_useEffect_alt_reactive_reactive_first,alt_reactive,reactive_first,alt_first,mode,max,max,mode,False,False,False,39,14,8684,2880,2880,8684,25.5,25.28125,25.28125,25.5,0.21875,-0.21875,-0.21875,-0.21875
llama3.2-1b,B,subscribe,both,pair_03,pair_03_B_subscribe_alt_reactive_reactive_first,alt_reactive,reactive_first,alt_first,mode,max,max,mode,False,False,False,50,14,8684,2880,2880,8684,23.546875,24.71875,24.71875,23.546875,-1.171875,1.171875,1.171875,1.171875
llama3.2-1b,B,plain_array,both,pair_03,pair_03_B_plain_array_alt_reactive_reactive_first,alt_reactive,reactive_first,alt_first,mode,max,max,mode,False,False,False,36,11,8684,2880,2880,8684,19.859375,21.59375,21.59375,19.859375,-1.734375,1.734375,1.734375,1.734375
llama3.2-1b,B,return_array,both,pair_03,pair_03_B_return_array_alt_reactive_reactive_first,alt_reactive,reactive_first,alt_first,mode,max,max,mode,False,False,False,34,9,8684,2880,2880,8684,20.40625,23.984375,23.984375,20.40625,-3.578125,3.578125,3.578125,3.578125
llama3.2-1b,B,useEffect,both,pair_03,pair_03_B_useEffect_alt_reactive_stable_first,alt_reactive,stable_first,alt_first,mode,max,max,mode,False,True,False,39,14,8684,2880,2880,8684,26.125,25.40625,25.40625,26.125,0.71875,-0.71875,-0.71875,-0.71875
llama3.2-1b,B,subscribe,both,pair_03,pair_03_B_subscribe_alt_reactive_stable_first,alt_reactive,stable_first,alt_first,mode,max,max,mode,False,True,False,50,14,8684,2880,2880,8684,24.578125,24.71875,24.71875,24.578125,-0.140625,0.140625,0.140625,0.140625
llama3.2-1b,B,plain_array,both,pair_03,pair_03_B_plain_array_alt_reactive_stable_first,alt_reactive,stable_first,alt_first,mode,max,max,mode,False,True,False,36,11,8684,2880,2880,8684,20.5,21.046875,21.046875,20.5,-0.546875,0.546875,0.546875,0.546875
llama3.2-1b,B,return_array,both,pair_03,pair_03_B_return_array_alt_reactive_stable_first,alt_reactive,stable_first,alt_first,mode,max,max,mode,False,True,False,34,9,8684,2880,2880,8684,22.1875,23.5,23.5,22.1875,-1.3125,1.3125,1.3125,1.3125
llama3.2-1b,B,useEffect,both,pair_04,pair_04_B_useEffect_dep_reactive_reactive_first,dep_reactive,reactive_first,dep_first,index,len,index,len,True,True,True,39,14,1275,2963,1275,2963,26.484375,24.5625,26.484375,24.5625,1.921875,1.921875,1.921875,1.921875
llama3.2-1b,B,subscribe,both,pair_04,pair_04_B_subscribe_dep_reactive_reactive_first,dep_reactive,reactive_first,dep_first,index,len,index,len,True,True,True,50,14,1275,2963,1275,2963,25.0,23.46875,25.0,23.46875,1.53125,1.53125,1.53125,1.53125
llama3.2-1b,B,plain_array,both,pair_04,pair_04_B_plain_array_dep_reactive_reactive_first,dep_reactive,reactive_first,dep_first,index,len,index,len,True,True,True,36,11,1275,2963,1275,2963,19.765625,16.859375,19.765625,16.859375,2.90625,2.90625,2.90625,2.90625
llama3.2-1b,B,return_array,both,pair_04,pair_04_B_return_array_dep_reactive_reactive_first,dep_reactive,reactive_first,dep_first,index,len,index,len,True,True,True,34,9,1275,2963,1275,2963,24.515625,18.328125,24.515625,18.328125,6.1875,6.1875,6.1875,6.1875
llama3.2-1b,B,useEffect,both,pair_04,pair_04_B_useEffect_dep_reactive_stable_first,dep_reactive,stable_first,dep_first,index,len,index,len,True,False,True,39,14,1275,2963,1275,2963,26.625,25.0625,26.625,25.0625,1.5625,1.5625,1.5625,1.5625
llama3.2-1b,B,subscribe,both,pair_04,pair_04_B_subscribe_dep_reactive_stable_first,dep_reactive,stable_first,dep_first,index,len,index,len,True,False,True,50,14,1275,2963,1275,2963,24.828125,24.34375,24.828125,24.34375,0.484375,0.484375,0.484375,0.484375
llama3.2-1b,B,plain_array,both,pair_04,pair_04_B_plain_array_dep_reactive_stable_first,dep_reactive,stable_first,dep_first,index,len,index,len,True,False,True,36,11,1275,2963,1275,2963,20.40625,18.0625,20.40625,18.0625,2.34375,2.34375,2.34375,2.34375
llama3.2-1b,B,return_array,both,pair_04,pair_04_B_return_array_dep_reactive_stable_first,dep_reactive,stable_first,dep_first,index,len,index,len,True,False,True,34,9,1275,2963,1275,2963,24.46875,20.203125,24.46875,20.203125,4.265625,4.265625,4.265625,4.265625
llama3.2-1b,B,useEffect,both,pair_04,pair_04_B_useEffect_alt_reactive_reactive_first,alt_reactive,reactive_first,alt_first,index,len,len,index,False,False,False,39,14,1275,2963,2963,1275,23.25,25.890625,25.890625,23.25,-2.640625,2.640625,2.640625,2.640625
llama3.2-1b,B,subscribe,both,pair_04,pair_04_B_subscribe_alt_reactive_reactive_first,alt_reactive,reactive_first,alt_first,index,len,len,index,False,False,False,50,14,1275,2963,2963,1275,22.0,24.8125,24.8125,22.0,-2.8125,2.8125,2.8125,2.8125
llama3.2-1b,B,plain_array,both,pair_04,pair_04_B_plain_array_alt_reactive_reactive_first,alt_reactive,reactive_first,alt_first,index,len,len,index,False,False,False,36,11,1275,2963,2963,1275,20.6875,20.296875,20.296875,20.6875,0.390625,-0.390625,-0.390625,-0.390625
llama3.2-1b,B,return_array,both,pair_04,pair_04_B_return_array_alt_reactive_reactive_first,alt_reactive,reactive_first,alt_first,index,len,len,index,False,False,False,34,9,1275,2963,2963,1275,20.265625,24.1875,24.1875,20.265625,-3.921875,3.921875,3.921875,3.921875
llama3.2-1b,B,useEffect,both,pair_04,pair_04_B_useEffect_alt_reactive_stable_first,alt_reactive,stable_first,alt_first,index,len,len,index,False,True,False,39,14,1275,2963,2963,1275,24.625,25.734375,25.734375,24.625,-1.109375,1.109375,1.109375,1.109375
llama3.2-1b,B,subscribe,both,pair_04,pair_04_B_subscribe_alt_reactive_stable_first,alt_reactive,stable_first,alt_first,index,len,len,index,False,True,False,50,14,1275,2963,2963,1275,23.203125,24.5625,24.5625,23.203125,-1.359375,1.359375,1.359375,1.359375
llama3.2-1b,B,plain_array,both,pair_04,pair_04_B_plain_array_alt_reactive_stable_first,alt_reactive,stable_first,alt_first,index,len,len,index,False,True,False,36,11,1275,2963,2963,1275,20.625,18.5,18.5,20.625,2.125,-2.125,-2.125,-2.125
llama3.2-1b,B,return_array,both,pair_04,pair_04_B_return_array_alt_reactive_stable_first,alt_reactive,stable_first,alt_first,index,len,len,index,False,True,False,34,9,1275,2963,2963,1275,22.234375,23.15625,23.15625,22.234375,-0.921875,0.921875,0.921875,0.921875
llama3.2-1b,B,useEffect,both,pair_05,pair_05_B_useEffect_dep_reactive_reactive_first,dep_reactive,reactive_first,dep_first,flag,min,flag,min,True,True,True,37,14,10104,1083,10104,1083,26.84375,24.515625,26.84375,24.515625,2.328125,2.328125,2.328125,2.328125
llama3.2-1b,B,subscribe,both,pair_05,pair_05_B_subscribe_dep_reactive_reactive_first,dep_reactive,reactive_first,dep_first,flag,min,flag,min,True,True,True,48,14,10104,1083,10104,1083,25.46875,23.796875,25.46875,23.796875,1.671875,1.671875,1.671875,1.671875
llama3.2-1b,B,plain_array,both,pair_05,pair_05_B_plain_array_dep_reactive_reactive_first,dep_reactive,reactive_first,dep_first,flag,min,flag,min,True,True,True,34,11,10104,1083,10104,1083,21.65625,20.875,21.65625,20.875,0.78125,0.78125,0.78125,0.78125
llama3.2-1b,B,return_array,both,pair_05,pair_05_B_return_array_dep_reactive_reactive_first,dep_reactive,reactive_first,dep_first,flag,min,flag,min,True,True,True,32,9,10104,1083,10104,1083,24.453125,21.65625,24.453125,21.65625,2.796875,2.796875,2.796875,2.796875
llama3.2-1b,B,useEffect,both,pair_05,pair_05_B_useEffect_dep_reactive_stable_first,dep_reactive,stable_first,dep_first,flag,min,flag,min,True,False,True,37,14,10104,1083,10104,1083,27.0625,25.3125,27.0625,25.3125,1.75,1.75,1.75,1.75
llama3.2-1b,B,subscribe,both,pair_05,pair_05_B_subscribe_dep_reactive_stable_first,dep_reactive,stable_first,dep_first,flag,min,flag,min,True,False,True,48,14,10104,1083,10104,1083,25.515625,24.5625,25.515625,24.5625,0.953125,0.953125,0.953125,0.953125
llama3.2-1b,B,plain_array,both,pair_05,pair_05_B_plain_array_dep_reactive_stable_first,dep_reactive,stable_first,dep_first,flag,min,flag,min,True,False,True,34,11,10104,1083,10104,1083,21.53125,21.359375,21.53125,21.359375,0.171875,0.171875,0.171875,0.171875
llama3.2-1b,B,return_array,both,pair_05,pair_05_B_return_array_dep_reactive_stable_first,dep_reactive,stable_first,dep_first,flag,min,flag,min,True,False,True,32,9,10104,1083,10104,1083,24.390625,22.453125,24.390625,22.453125,1.9375,1.9375,1.9375,1.9375
llama3.2-1b,B,useEffect,both,pair_05,pair_05_B_useEffect_alt_reactive_reactive_first,alt_reactive,reactive_first,alt_first,flag,min,min,flag,False,False,False,37,14,10104,1083,1083,10104,25.25,26.03125,26.03125,25.25,-0.78125,0.78125,0.78125,0.78125
llama3.2-1b,B,subscribe,both,pair_05,pair_05_B_subscribe_alt_reactive_reactive_first,alt_reactive,reactive_first,alt_first,flag,min,min,flag,False,False,False,48,14,10104,1083,1083,10104,23.484375,25.65625,25.65625,23.484375,-2.171875,2.171875,2.171875,2.171875
llama3.2-1b,B,plain_array,both,pair_05,pair_05_B_plain_array_alt_reactive_reactive_first,alt_reactive,reactive_first,alt_first,flag,min,min,flag,False,False,False,34,11,10104,1083,1083,10104,20.25,23.25,23.25,20.25,-3.0,3.0,3.0,3.0
llama3.2-1b,B,return_array,both,pair_05,pair_05_B_return_array_alt_reactive_reactive_first,alt_reactive,reactive_first,alt_first,flag,min,min,flag,False,False,False,32,9,10104,1083,1083,10104,21.75,25.15625,25.15625,21.75,-3.40625,3.40625,3.40625,3.40625
llama3.2-1b,B,useEffect,both,pair_05,pair_05_B_useEffect_alt_reactive_stable_first,alt_reactive,stable_first,alt_first,flag,min,min,flag,False,True,False,37,14,10104,1083,1083,10104,25.953125,26.25,26.25,25.953125,-0.296875,0.296875,0.296875,0.296875
llama3.2-1b,B,subscribe,both,pair_05,pair_05_B_subscribe_alt_reactive_stable_first,alt_reactive,stable_first,alt_first,flag,min,min,flag,False,True,False,48,14,10104,1083,1083,10104,24.171875,25.71875,25.71875,24.171875,-1.546875,1.546875,1.546875,1.546875
llama3.2-1b,B,plain_array,both,pair_05,pair_05_B_plain_array_alt_reactive_stable_first,alt_reactive,stable_first,alt_first,flag,min,min,flag,False,True,False,34,11,10104,1083,1083,10104,20.421875,23.046875,23.046875,20.421875,-2.625,2.625,2.625,2.625
llama3.2-1b,B,return_array,both,pair_05,pair_05_B_return_array_alt_reactive_stable_first,alt_reactive,stable_first,alt_first,flag,min,min,flag,False,True,False,32,9,10104,1083,1083,10104,22.34375,24.96875,24.96875,22.34375,-2.625,2.625,2.625,2.625
llama3.2-1b,B,useEffect,both,pair_06,pair_06_B_useEffect_dep_reactive_reactive_first,dep_reactive,reactive_first,dep_first,tag,num,tag,num,True,True,True,39,14,4681,2470,4681,2470,26.21875,24.234375,26.21875,24.234375,1.984375,1.984375,1.984375,1.984375
llama3.2-1b,B,subscribe,both,pair_06,pair_06_B_subscribe_dep_reactive_reactive_first,dep_reactive,reactive_first,dep_first,tag,num,tag,num,True,True,True,50,14,4681,2470,4681,2470,25.390625,23.46875,25.390625,23.46875,1.921875,1.921875,1.921875,1.921875
llama3.2-1b,B,plain_array,both,pair_06,pair_06_B_plain_array_dep_reactive_reactive_first,dep_reactive,reactive_first,dep_first,tag,num,tag,num,True,True,True,36,11,4681,2470,4681,2470,22.359375,20.734375,22.359375,20.734375,1.625,1.625,1.625,1.625
