model,condition,pair_id,D__sr=alt_reactive|do=reactive_first|bo=alt_first,D__sr=alt_reactive|do=stable_first|bo=alt_first,D__sr=dep_reactive|do=reactive_first|bo=dep_first,D__sr=dep_reactive|do=stable_first|bo=dep_first,LD_stateform__sr=alt_reactive|do=reactive_first|bo=alt_first,LD_stateform__sr=alt_reactive|do=stable_first|bo=alt_first,LD_stateform__sr=dep_reactive|do=reactive_first|bo=dep_first,LD_stateform__sr=dep_reactive|do=stable_first|bo=dep_first,logit_control__sr=alt_reactive|do=reactive_first|bo=alt_first,logit_control__sr=alt_reactive|do=stable_first|bo=alt_first,logit_control__sr=dep_reactive|do=reactive_first|bo=dep_first,logit_control__sr=dep_reactive|do=stable_first|bo=dep_first,logit_target__sr=alt_reactive|do=reactive_first|bo=alt_first,logit_target__sr=alt_reactive|do=stable_first|bo=alt_first,logit_target__sr=dep_reactive|do=reactive_first|bo=dep_first,logit_target__sr=dep_reactive|do=stable_first|bo=dep_first
gemma3-1b-pt,plain_array,pair_01,-2.75,-1.375,0.75,-0.625,2.75,1.375,0.75,-0.625,15.0,16.125,16.25,17.0,17.75,17.5,17.0,16.375
gemma3-1b-pt,plain_array,pair_02,-3.1875,-2.4375,1.0625,0.625,3.1875,2.4375,1.0625,0.625,12.0,12.4375,13.6875,13.375,15.1875,14.875,14.75,14.0
gemma3-1b-pt,plain_array,pair_03,-3.1875,-2.1875,-0.625,-0.9375,3.1875,2.1875,-0.625,-0.9375,12.9375,13.6875,15.75,16.0,16.125,15.875,15.125,15.0625
gemma3-1b-pt,plain_array,pair_04,0.0,0.4375,1.9375,1.125,-0.0,-0.4375,1.9375,1.125,14.875,14.9375,13.9375,14.4375,14.875,14.5,15.875,15.5625
gemma3-1b-pt,plain_array,pair_05,-3.8125,-4.1875,-1.0625,-0.9375,3.8125,4.1875,-1.0625,-0.9375,12.6875,12.5625,15.875,15.6875,16.5,16.75,14.8125,14.75
gemma3-1b-pt,plain_array,pair_06,-1.5625,-0.8125,1.125,0.4375,1.5625,0.8125,1.125,0.4375,14.9375,15.3125,15.25,15.9375,16.5,16.125,16.375,16.375
gemma3-1b-pt,plain_array,pair_07,-3.5,-2.375,-0.125,-0.5,3.5,2.375,-0.125,-0.5,14.375,15.25,16.875,17.0,17.875,17.625,16.75,16.5
gemma3-1b-pt,plain_array,pair_08,-3.125,-2.0625,0.4375,0.0,3.125,2.0625,0.4375,0.0,14.125,14.9375,15.9375,16.125,17.25,17.0,16.375,16.125
gemma3-1b-pt,plain_array,pair_09,-2.1875,-1.875,-0.6875,-0.4375,2.1875,1.875,-0.6875,-0.4375,14.3125,14.5,16.0,16.25,16.5,16.375,15.3125,15.8125
gemma3-1b-pt,plain_array,pair_10,-1.3125,-0.6875,1.4375,1.3125,1.3125,0.6875,1.4375,1.3125,15.1875,15.1875,15.3125,15.4375,16.5,15.875,16.75,16.75
gemma3-1b-pt,plain_array,pair_11,1.75,1.75,3.3125,2.75,-1.75,-1.75,3.3125,2.75,17.875,17.75,15.0625,15.25,16.125,16.0,18.375,18.0
gemma3-1b-pt,plain_array,pair_12,0.1875,1.8125,2.0625,1.5625,-0.1875,-1.8125,2.0625,1.5625,15.9375,16.5,14.6875,15.1875,15.75,14.6875,16.75,16.75
gemma3-1b-pt,plain_array,pair_13,-3.8125,-3.3125,-0.25,-1.0625,3.8125,3.3125,-0.25,-1.0625,13.6875,14.1875,16.5,16.5,17.5,17.5,16.25,15.4375
gemma3-1b-pt,plain_array,pair_14,-4.1875,-3.5625,0.875,0.6875,4.1875,3.5625,0.875,0.6875,12.3125,12.8125,14.375,15.0,16.5,16.375,15.25,15.6875
gemma3-1b-pt,plain_array,pair_15,-1.8125,-1.125,-0.25,0.125,1.8125,1.125,-0.25,0.125,15.4375,15.625,16.875,16.5,17.25,16.75,16.625,16.625
gemma3-1b-pt,plain_array,pair_16,-2.3125,-1.125,-0.25,0.5625,2.3125,1.125,-0.25,0.5625,14.9375,15.5,16.5,15.8125,17.25,16.625,16.25,16.375
gemma3-1b-pt,plain_array,pair_17,-1.375,-0.9375,1.5625,1.1875,1.375,0.9375,1.5625,1.1875,14.375,14.4375,14.5625,14.375,15.75,15.375,16.125,15.5625
gemma3-1b-pt,plain_array,pair_18,-4.375,-3.4375,-0.9375,-1.75,4.375,3.4375,-0.9375,-1.75,11.125,12.375,15.75,16.0,15.5,15.8125,14.8125,14.25
gemma3-1b-pt,plain_array,pair_19,0.0625,0.6875,2.5,1.625,-0.0625,-0.6875,2.5,1.625,14.9375,15.125,13.4375,14.375,14.875,14.4375,15.9375,16.0
gemma3-1b-pt,plain_array,pair_20,-2.8125,-1.875,0.375,-0.125,2.8125,1.875,0.375,-0.125,14.6875,15.125,16.125,16.375,17.5,17.0,16.5,16.25
gemma3-1b-pt,plain_array,pair_21,-1.3125,-0.25,0.8125,0.8125,1.3125,0.25,0.8125,0.8125,15.1875,15.875,15.8125,15.6875,16.5,16.125,16.625,16.5
gemma3-1b-pt,plain_array,pair_22,-3.0,-2.6875,0.5,0.3125,3.0,2.6875,0.5,0.3125,13.625,14.0625,15.1875,15.0,16.625,16.75,15.6875,15.3125
gemma3-1b-pt,plain_array,pair_23,-1.8125,-2.0625,-0.625,-0.25,1.8125,2.0625,-0.625,-0.25,15.8125,15.0625,17.0,16.625,17.625,17.125,16.375,16.375
gemma3-1b-pt,plain_array,pair_24,-0.8125,-0.25,1.375,1.9375,0.8125,0.25,1.375,1.9375,15.3125,15.4375,15.625,14.9375,16.125,15.6875,17.0,16.875
gemma3-1b-pt,plain_array,pair_25,2.0,2.375,3.375,3.0,-2.0,-2.375,3.375,3.0,17.0,17.0,14.375,14.25,15.0,14.625,17.75,17.25
gemma3-1b-pt,plain_array,pair_26,-2.125,-0.875,1.375,0.625,2.125,0.875,1.375,0.625,15.625,16.25,16.125,16.5,17.75,17.125,17.5,17.125
gemma3-1b-pt,plain_array,pair_27,-1.8125,-0.4375,1.8125,0.875,1.8125,0.4375,1.8125,0.875,14.1875,14.9375,14.6875,15.0,16.0,15.375,16.5,15.875
gemma3-1b-pt,plain_array,pair_28,-4.0625,-3.25,0.0625,0.0625,4.0625,3.25,0.0625,0.0625,11.125,12.0,15.0,15.0,15.1875,15.25,15.0625,15.0625
gemma3-1b-pt,plain_array,pair_29,-2.8125,-2.6875,-1.0625,-0.1875,2.8125,2.6875,-1.0625,-0.1875,13.1875,13.125,15.75,15.0,16.0,15.8125,14.6875,14.8125
gemma3-1b-pt,plain_array,pair_30,-4.125,-3.375,-0.3125,-0.375,4.125,3.375,-0.3125,-0.375,12.25,12.875,14.875,15.0,16.375,16.25,14.5625,14.625
gemma3-1b-pt,plain_array,pair_31,-1.375,-0.875,1.5625,0.9375,1.375,0.875,1.5625,0.9375,15.25,15.125,14.6875,15.0625,16.625,16.0,16.25,16.0
gemma3-1b-pt,plain_array,pair_32,-2.125,-1.125,0.0,-0.125,2.125,1.125,0.0,-0.125,15.375,15.75,16.5,16.375,17.5,16.875,16.5,16.25
gemma3-1b-pt,plain_array,pair_33,-2.5,-2.1875,0.375,-0.25,2.5,2.1875,0.375,-0.25,14.75,14.8125,16.125,16.25,17.25,17.0,16.5,16.0
gemma3-1b-pt,plain_array,pair_34,0.5625,1.3125,2.25,2.375,-0.5625,-1.3125,2.25,2.375,15.6875,16.0,14.0,14.25,15.125,14.6875,16.25,16.625
gemma3-1b-pt,plain_array,pair_35,0.0625,0.25,2.125,1.5,-0.0625,-0.25,2.125,1.5,16.0,15.5625,14.5,15.25,15.9375,15.3125,16.625,16.75
gemma3-1b-pt,plain_array,pair_36,-2.625,-1.625,-1.125,-0.375,2.625,1.625,-1.125,-0.375,14.5,15.125,17.375,16.625,17.125,16.75,16.25,16.25
gemma3-1b-pt,plain_array,pair_37,-2.125,-0.6875,0.8125,0.0,2.125,0.6875,0.8125,0.0,14.5,15.4375,15.8125,16.25,16.625,16.125,16.625,16.25
gemma3-1b-pt,plain_array,pair_38,0.0,0.375,2.0625,1.625,-0.0,-0.375,2.0625,1.625,16.75,16.875,15.9375,16.125,16.75,16.5,18.0,17.75
gemma3-1b-pt,plain_array,pair_39,-1.625,-1.75,0.125,0.625,1.625,1.75,0.125,0.625,15.25,15.0,16.625,16.125,16.875,16.75,16.75,16.75
gemma3-1b-pt,plain_array,pair_40,-1.375,0.5,2.1875,1.6875,1.375,-0.5,2.1875,1.6875,15.625,16.5,15.3125,15.4375,17.0,16.0,17.5,17.125
gemma3-1b-pt,plain_array,pair_41,-2.5625,-1.9375,0.5625,0.5625,2.5625,1.9375,0.5625,0.5625,11.25,11.9375,13.25,13.875,13.8125,13.875,13.8125,14.4375
gemma3-1b-pt,plain_array,pair_42,-0.25,0.125,1.125,0.875,0.25,-0.125,1.125,0.875,16.125,15.5625,15.125,15.5,16.375,15.4375,16.25,16.375
gemma3-1b-pt,plain_array,pair_43,-3.25,-2.0625,0.125,-0.3125,3.25,2.0625,0.125,-0.3125,14.5,15.3125,16.625,16.25,17.75,17.375,16.75,15.9375
gemma3-1b-pt,plain_array,pair_44,-4.8125,-4.5625,-2.6875,-2.3125,4.8125,4.5625,-2.6875,-2.3125,11.0625,11.1875,15.9375,15.8125,15.875,15.75,13.25,13.5
gemma3-1b-pt,plain_array,pair_45,-1.6875,-1.375,1.875,2.375,1.6875,1.375,1.875,2.375,13.5625,13.625,13.875,12.8125,15.25,15.0,15.75,15.1875
gemma3-1b-pt,return_array,pair_01,-0.6875,0.5,1.8125,0.625,0.6875,-0.5,1.8125,0.625,15.8125,16.75,15.0625,15.875,16.5,16.25,16.875,16.5
gemma3-1b-pt,return_array,pair_02,-1.1875,0.125,3.0,2.0,1.1875,-0.125,3.0,2.0,13.9375,15.1875,12.8125,13.5625,15.125,15.0625,15.8125,15.5625
gemma3-1b-pt,return_array,pair_03,-1.1875,0.125,1.4375,0.25,1.1875,-0.125,1.4375,0.25,14.125,14.8125,13.25,14.5625,15.3125,14.6875,14.6875,14.8125
gemma3-1b-pt,return_array,pair_04,0.5625,0.625,1.25,0.75,-0.5625,-0.625,1.25,0.75,15.625,15.625,14.25,14.8125,15.0625,15.0,15.5,15.5625
gemma3-1b-pt,return_array,pair_05,-1.8125,-1.375,0.8125,0.6875,1.8125,1.375,0.8125,0.6875,14.0,14.375,14.3125,14.1875,15.8125,15.75,15.125,14.875
gemma3-1b-pt,return_array,pair_06,-0.25,0.625,1.4375,0.5,0.25,-0.625,1.4375,0.5,16.25,16.75,15.0625,16.125,16.5,16.125,16.5,16.625
