model,ablation,condition,bodyuse,pair_id,cell_id,state_role,decl_order,body_order,dep_var,alt_var,target_var,control_var,role_dep_useState_form,decl_dep_first,pos_dep_first,n_tokens,decl_to_bracket_token_distance,dep_id,alt_id,target_id,control_id,logit_dep,logit_alt,logit_target,logit_control,D,LD_stateform,LD_reactive,LD_stateform_direct
llama3.2-1b,C,useEffect,both,pair_01,pair_01_C_useEffect_dep_reactive_reactive_first_both_dep_first,dep_reactive,reactive_first,dep_first,page,ref,page,ref,True,True,True,38,14,2964,1116,2964,1116,25.9375,24.96875,25.9375,24.96875,0.96875,0.96875,0.96875,0.96875
llama3.2-1b,C,useEffect,both,pair_01,pair_01_C_useEffect_dep_reactive_reactive_first_both_alt_first,dep_reactive,reactive_first,alt_first,page,ref,page,ref,True,True,False,38,14,2964,1116,2964,1116,26.375,24.578125,26.375,24.578125,1.796875,1.796875,1.796875,1.796875
llama3.2-1b,C,useEffect,target_only,pair_01,pair_01_C_useEffect_dep_reactive_reactive_first_target_only,dep_reactive,reactive_first,,page,ref,page,ref,True,True,,36,12,2964,1116,2964,1116,25.796875,23.671875,25.796875,23.671875,2.125,2.125,2.125,2.125
llama3.2-1b,C,useEffect,control_only,pair_01,pair_01_C_useEffect_dep_reactive_reactive_first_control_only,dep_reactive,reactive_first,,page,ref,page,ref,True,True,,36,12,2964,1116,2964,1116,24.0,25.0625,24.0,25.0625,-1.0625,-1.0625,-1.0625,-1.0625
llama3.2-1b,C,useEffect,neither,pair_01,pair_01_C_useEffect_dep_reactive_reactive_first_neither,dep_reactive,reactive_first,,page,ref,page,ref,True,True,,35,11,2964,1116,2964,1116,24.625,23.84375,24.625,23.84375,0.78125,0.78125,0.78125,0.78125
llama3.2-1b,C,useEffect,both,pair_01,pair_01_C_useEffect_dep_reactive_stable_first_both_dep_first,dep_reactive,stable_first,dep_first,page,ref,page,ref,True,False,True,38,14,2964,1116,2964,1116,26.359375,25.5,26.359375,25.5,0.859375,0.859375,0.859375,0.859375
llama3.2-1b,C,useEffect,both,pair_01,pair_01_C_useEffect_dep_reactive_stable_first_both_alt_first,dep_reactive,stable_first,alt_first,page,ref,page,ref,True,False,False,38,14,2964,1116,2964,1116,26.6875,24.6875,26.6875,24.6875,2.0,2.0,2.0,2.0
llama3.2-1b,C,useEffect,target_only,pair_01,pair_01_C_useEffect_dep_reactive_stable_first_target_only,dep_reactive,stable_first,,page,ref,page,ref,True,False,,36,12,2964,1116,2964,1116,26.28125,23.265625,26.28125,23.265625,3.015625,3.015625,3.015625,3.015625
llama3.2-1b,C,useEffect,control_only,pair_01,pair_01_C_useEffect_dep_reactive_stable_first_control_only,dep_reactive,stable_first,,page,ref,page,ref,True,False,,36,12,2964,1116,2964,1116,24.53125,25.28125,24.53125,25.28125,-0.75,-0.75,-0.75,-0.75
llama3.2-1b,C,useEffect,neither,pair_01,pair_01_C_useEffect_dep_reactive_stable_first_neither,dep_reactive,stable_first,,page,ref,page,ref,True,False,,35,11,2964,1116,2964,1116,24.875,23.125,24.875,23.125,1.75,1.75,1.75,1.75
llama3.2-1b,C,useEffect,both,pair_01,pair_01_C_useEffect_alt_reactive_reactive_first_both_dep_first,alt_reactive,reactive_first,dep_first,page,ref,ref,page,False,False,True,39,14,2964,1116,1116,2964,26.796875,26.140625,26.140625,26.796875,0.65625,-0.65625,-0.65625,-0.65625
llama3.2-1b,C,useEffect,both,pair_01,pair_01_C_useEffect_alt_reactive_reactive_first_both_alt_first,alt_reactive,reactive_first,alt_first,page,ref,ref,page,False,False,False,39,14,2964,1116,1116,2964,26.734375,26.046875,26.046875,26.734375,0.6875,-0.6875,-0.6875,-0.6875
llama3.2-1b,C,useEffect,target_only,pair_01,pair_01_C_useEffect_alt_reactive_reactive_first_target_only,alt_reactive,reactive_first,,page,ref,ref,page,False,False,,37,12,2964,1116,1116,2964,24.890625,26.171875,26.171875,24.890625,-1.28125,1.28125,1.28125,1.28125
llama3.2-1b,C,useEffect,control_only,pair_01,pair_01_C_useEffect_alt_reactive_reactive_first_control_only,alt_reactive,reactive_first,,page,ref,ref,page,False,False,,37,12,2964,1116,1116,2964,26.234375,24.28125,24.28125,26.234375,1.953125,-1.953125,-1.953125,-1.953125
llama3.2-1b,C,useEffect,neither,pair_01,pair_01_C_useEffect_alt_reactive_reactive_first_neither,alt_reactive,reactive_first,,page,ref,ref,page,False,False,,36,11,2964,1116,1116,2964,25.28125,24.671875,24.671875,25.28125,0.609375,-0.609375,-0.609375,-0.609375
llama3.2-1b,C,useEffect,both,pair_01,pair_01_C_useEffect_alt_reactive_stable_first_both_dep_first,alt_reactive,stable_first,dep_first,page,ref,ref,page,False,True,True,39,14,2964,1116,1116,2964,26.421875,25.90625,25.90625,26.421875,0.515625,-0.515625,-0.515625,-0.515625
llama3.2-1b,C,useEffect,both,pair_01,pair_01_C_useEffect_alt_reactive_stable_first_both_alt_first,alt_reactive,stable_first,alt_first,page,ref,ref,page,False,True,False,39,14,2964,1116,1116,2964,26.484375,26.015625,26.015625,26.484375,0.46875,-0.46875,-0.46875,-0.46875
llama3.2-1b,C,useEffect,target_only,pair_01,pair_01_C_useEffect_alt_reactive_stable_first_target_only,alt_reactive,stable_first,,page,ref,ref,page,False,True,,37,12,2964,1116,1116,2964,24.203125,26.0625,26.0625,24.203125,-1.859375,1.859375,1.859375,1.859375
llama3.2-1b,C,useEffect,control_only,pair_01,pair_01_C_useEffect_alt_reactive_stable_first_control_only,alt_reactive,stable_first,,page,ref,ref,page,False,True,,37,12,2964,1116,1116,2964,26.109375,24.421875,24.421875,26.109375,1.6875,-1.6875,-1.6875,-1.6875
llama3.2-1b,C,useEffect,neither,pair_01,pair_01_C_useEffect_alt_reactive_stable_first_neither,alt_reactive,stable_first,,page,ref,ref,page,False,True,,36,11,2964,1116,1116,2964,24.8125,24.671875,24.671875,24.8125,0.140625,-0.140625,-0.140625,-0.140625
llama3.2-1b,C,subscribe,both,pair_01,pair_01_C_subscribe_dep_reactive_reactive_first_both_dep_first,dep_reactive,reactive_first,dep_first,page,ref,page,ref,True,True,True,49,14,2964,1116,2964,1116,25.203125,23.703125,25.203125,23.703125,1.5,1.5,1.5,1.5
llama3.2-1b,C,subscribe,both,pair_01,pair_01_C_subscribe_dep_reactive_reactive_first_both_alt_first,dep_reactive,reactive_first,alt_first,page,ref,page,ref,True,True,False,49,14,2964,1116,2964,1116,25.90625,23.5,25.90625,23.5,2.40625,2.40625,2.40625,2.40625
llama3.2-1b,C,subscribe,target_only,pair_01,pair_01_C_subscribe_dep_reactive_reactive_first_target_only,dep_reactive,reactive_first,,page,ref,page,ref,True,True,,47,12,2964,1116,2964,1116,24.890625,23.453125,24.890625,23.453125,1.4375,1.4375,1.4375,1.4375
llama3.2-1b,C,subscribe,control_only,pair_01,pair_01_C_subscribe_dep_reactive_reactive_first_control_only,dep_reactive,reactive_first,,page,ref,page,ref,True,True,,47,12,2964,1116,2964,1116,24.328125,23.5625,24.328125,23.5625,0.765625,0.765625,0.765625,0.765625
llama3.2-1b,C,subscribe,neither,pair_01,pair_01_C_subscribe_dep_reactive_reactive_first_neither,dep_reactive,reactive_first,,page,ref,page,ref,True,True,,46,11,2964,1116,2964,1116,23.921875,23.21875,23.921875,23.21875,0.703125,0.703125,0.703125,0.703125
llama3.2-1b,C,subscribe,both,pair_01,pair_01_C_subscribe_dep_reactive_stable_first_both_dep_first,dep_reactive,stable_first,dep_first,page,ref,page,ref,True,False,True,49,14,2964,1116,2964,1116,25.359375,24.734375,25.359375,24.734375,0.625,0.625,0.625,0.625
llama3.2-1b,C,subscribe,both,pair_01,pair_01_C_subscribe_dep_reactive_stable_first_both_alt_first,dep_reactive,stable_first,alt_first,page,ref,page,ref,True,False,False,49,14,2964,1116,2964,1116,26.1875,23.4375,26.1875,23.4375,2.75,2.75,2.75,2.75
llama3.2-1b,C,subscribe,target_only,pair_01,pair_01_C_subscribe_dep_reactive_stable_first_target_only,dep_reactive,stable_first,,page,ref,page,ref,True,False,,47,12,2964,1116,2964,1116,25.328125,23.265625,25.328125,23.265625,2.0625,2.0625,2.0625,2.0625
llama3.2-1b,C,subscribe,control_only,pair_01,pair_01_C_subscribe_dep_reactive_stable_first_control_only,dep_reactive,stable_first,,page,ref,page,ref,True,False,,47,12,2964,1116,2964,1116,24.71875,23.609375,24.71875,23.609375,1.109375,1.109375,1.109375,1.109375
llama3.2-1b,C,subscribe,neither,pair_01,pair_01_C_subscribe_dep_reactive_stable_first_neither,dep_reactive,stable_first,,page,ref,page,ref,True,False,,46,11,2964,1116,2964,1116,24.1875,22.859375,24.1875,22.859375,1.328125,1.328125,1.328125,1.328125
llama3.2-1b,C,subscribe,both,pair_01,pair_01_C_subscribe_alt_reactive_reactive_first_both_dep_first,alt_reactive,reactive_first,dep_first,page,ref,ref,page,False,False,True,50,14,2964,1116,1116,2964,25.5,25.890625,25.890625,25.5,-0.390625,0.390625,0.390625,0.390625
llama3.2-1b,C,subscribe,both,pair_01,pair_01_C_subscribe_alt_reactive_reactive_first_both_alt_first,alt_reactive,reactive_first,alt_first,page,ref,ref,page,False,False,False,50,14,2964,1116,1116,2964,26.0625,25.09375,25.09375,26.0625,0.96875,-0.96875,-0.96875,-0.96875
llama3.2-1b,C,subscribe,target_only,pair_01,pair_01_C_subscribe_alt_reactive_reactive_first_target_only,alt_reactive,reactive_first,,page,ref,ref,page,False,False,,48,12,2964,1116,1116,2964,24.609375,24.625,24.625,24.609375,-0.015625,0.015625,0.015625,0.015625
llama3.2-1b,C,subscribe,control_only,pair_01,pair_01_C_subscribe_alt_reactive_reactive_first_control_only,alt_reactive,reactive_first,,page,ref,ref,page,False,False,,48,12,2964,1116,1116,2964,25.0,24.640625,24.640625,25.0,0.359375,-0.359375,-0.359375,-0.359375
