model,condition,bodyuse,pair_id,D__sr=alt_reactive|do=reactive_first|bo=alt_first,D__sr=alt_reactive|do=reactive_first|bo=dep_first,D__sr=alt_reactive|do=reactive_first|bo=na,D__sr=alt_reactive|do=stable_first|bo=alt_first,D__sr=alt_reactive|do=stable_first|bo=dep_first,D__sr=alt_reactive|do=stable_first|bo=na,D__sr=dep_reactive|do=reactive_first|bo=alt_first,D__sr=dep_reactive|do=reactive_first|bo=dep_first,D__sr=dep_reactive|do=reactive_first|bo=na,D__sr=dep_reactive|do=stable_first|bo=alt_first,D__sr=dep_reactive|do=stable_first|bo=dep_first,D__sr=dep_reactive|do=stable_first|bo=na,LD_stateform__sr=alt_reactive|do=reactive_first|bo=alt_first,LD_stateform__sr=alt_reactive|do=reactive_first|bo=dep_first,LD_stateform__sr=alt_reactive|do=reactive_first|bo=na,LD_stateform__sr=alt_reactive|do=stable_first|bo=alt_first,LD_stateform__sr=alt_reactive|do=stable_first|bo=dep_first,LD_stateform__sr=alt_reactive|do=stable_first|bo=na,LD_stateform__sr=dep_reactive|do=reactive_first|bo=alt_first,LD_stateform__sr=dep_reactive|do=reactive_first|bo=dep_first,LD_stateform__sr=dep_reactive|do=reactive_first|bo=na,LD_stateform__sr=dep_reactive|do=stable_first|bo=alt_first,LD_stateform__sr=dep_reactive|do=stable_first|bo=dep_first,LD_stateform__sr=dep_reactive|do=stable_first|bo=na,logit_control__sr=alt_reactive|do=reactive_first|bo=alt_first,logit_control__sr=alt_reactive|do=reactive_first|bo=dep_first,logit_control__sr=alt_reactive|do=reactive_first|bo=na,logit_control__sr=alt_reactive|do=stable_first|bo=alt_first,logit_control__sr=alt_reactive|do=stable_first|bo=dep_first,logit_control__sr=alt_reactive|do=stable_first|bo=na,logit_control__sr=dep_reactive|do=reactive_first|bo=alt_first,logit_control__sr=dep_reactive|do=reactive_first|bo=dep_first,logit_control__sr=dep_reactive|do=reactive_first|bo=na,logit_control__sr=dep_reactive|do=stable_first|bo=alt_first,logit_control__sr=dep_reactive|do=stable_first|bo=dep_first,logit_control__sr=dep_reactive|do=stable_first|bo=na,logit_target__sr=alt_reactive|do=reactive_first|bo=alt_first,logit_target__sr=alt_reactive|do=reactive_first|bo=dep_first,logit_target__sr=alt_reactive|do=reactive_first|bo=na,logit_target__sr=alt_reactive|do=stable_first|bo=alt_first,logit_target__sr=alt_reactive|do=stable_first|bo=dep_first,logit_target__sr=alt_reactive|do=stable_first|bo=na,logit_target__sr=dep_reactive|do=reactive_first|bo=alt_first,logit_target__sr=dep_reactive|do=reactive_first|bo=dep_first,logit_target__sr=dep_reactive|do=reactive_first|bo=na,logit_target__sr=dep_reactive|do=stable_first|bo=alt_first,logit_target__sr=dep_reactive|do=stable_first|bo=dep_first,logit_target__sr=dep_reactive|do=stable_first|bo=na
llama3.2-1b,subscribe,both,pair_01,0.96875,-0.390625,,1.109375,0.21875,,2.40625,1.5,,2.75,0.625,,-0.96875,0.390625,,-1.109375,-0.21875,,2.40625,1.5,,2.75,0.625,,26.0625,25.5,,26.171875,25.625,,23.5,23.703125,,23.4375,24.734375,,25.09375,25.890625,,25.0625,25.40625,,25.90625,25.203125,,26.1875,25.359375,
llama3.2-1b,subscribe,both,pair_02,-1.4375,-0.421875,,-0.453125,0.578125,,1.140625,2.421875,,0.375,0.84375,,1.4375,0.421875,,0.453125,-0.578125,,1.140625,2.421875,,0.375,0.84375,,24.546875,25.359375,,25.328125,25.796875,,24.0,22.875,,24.328125,24.03125,,25.984375,25.78125,,25.78125,25.21875,,25.140625,25.296875,,24.703125,24.875,
llama3.2-1b,subscribe,both,pair_03,-1.171875,-0.859375,,-0.140625,-0.546875,,1.921875,1.90625,,1.125,1.0625,,1.171875,0.859375,,0.140625,0.546875,,1.921875,1.90625,,1.125,1.0625,,23.546875,24.078125,,24.578125,24.375,,23.53125,23.46875,,24.21875,24.3125,,24.71875,24.9375,,24.71875,24.921875,,25.453125,25.375,,25.34375,25.375,
llama3.2-1b,subscribe,both,pair_04,-2.8125,-2.03125,,-1.359375,-1.09375,,0.8125,1.53125,,0.078125,0.484375,,2.8125,2.03125,,1.359375,1.09375,,0.8125,1.53125,,0.078125,0.484375,,22.0,23.15625,,23.203125,23.75,,23.78125,23.46875,,24.3125,24.34375,,24.8125,25.1875,,24.5625,24.84375,,24.59375,25.0,,24.390625,24.828125,
llama3.2-1b,subscribe,both,pair_05,-2.171875,-1.484375,,-1.546875,-0.8125,,0.75,1.671875,,0.25,0.953125,,2.171875,1.484375,,1.546875,0.8125,,0.75,1.671875,,0.25,0.953125,,23.484375,24.296875,,24.171875,24.875,,24.65625,23.796875,,25.0,24.5625,,25.65625,25.78125,,25.71875,25.6875,,25.40625,25.46875,,25.25,25.515625,
llama3.2-1b,subscribe,both,pair_06,-2.25,-2.453125,,-1.140625,-2.171875,,1.40625,1.921875,,0.140625,0.6875,,2.25,2.453125,,1.140625,2.171875,,1.40625,1.921875,,0.140625,0.6875,,22.78125,23.078125,,23.953125,23.5,,24.078125,23.46875,,24.953125,24.625,,25.03125,25.53125,,25.09375,25.671875,,25.484375,25.390625,,25.09375,25.3125,
llama3.2-1b,subscribe,both,pair_07,-1.3125,-0.90625,,-0.1875,-0.125,,1.15625,1.25,,1.21875,-0.109375,,1.3125,0.90625,,0.1875,0.125,,1.15625,1.25,,1.21875,-0.109375,,24.421875,24.671875,,25.125,25.09375,,23.453125,23.109375,,23.421875,24.234375,,25.734375,25.578125,,25.3125,25.21875,,24.609375,24.359375,,24.640625,24.125,
llama3.2-1b,subscribe,both,pair_08,-3.796875,-2.234375,,-1.65625,-1.109375,,-0.125,0.359375,,-1.9375,-1.21875,,3.796875,2.234375,,1.65625,1.109375,,-0.125,0.359375,,-1.9375,-1.21875,,22.5,24.140625,,24.328125,24.9375,,24.515625,24.171875,,25.65625,25.546875,,26.296875,26.375,,25.984375,26.046875,,24.390625,24.53125,,23.71875,24.328125,
llama3.2-1b,subscribe,both,pair_09,-3.140625,-0.671875,,-1.40625,0.25,,1.4375,1.765625,,1.96875,0.734375,,3.140625,0.671875,,1.40625,-0.25,,1.4375,1.765625,,1.96875,0.734375,,23.171875,25.09375,,24.671875,25.1875,,23.046875,22.578125,,22.359375,23.25,,26.3125,25.765625,,26.078125,24.9375,,24.484375,24.34375,,24.328125,23.984375,
llama3.2-1b,subscribe,both,pair_10,-2.375,-2.796875,,-1.671875,-2.390625,,1.171875,1.03125,,0.0625,0.03125,,2.375,2.796875,,1.671875,2.390625,,1.171875,1.03125,,0.0625,0.03125,,22.875,23.328125,,23.78125,23.859375,,23.328125,23.28125,,24.125,24.203125,,25.25,26.125,,25.453125,26.25,,24.5,24.3125,,24.1875,24.234375,
