model,condition,pair_id,cell_id,pilot_cell_id,state_role,decl_order,body_order,dep_var,alt_var,useState_form_var,const_form_var,reactive_var,stable_var,role_dep_useState_form,pos_dep_first,decl_dep_first,reactive_body_pos,useState_form_body_pos,prefix,n_tokens,dep_id,alt_id,useState_form_id,const_form_id,close_id,logit_dep,logit_alt,logit_useState_form,logit_const_form,logit_reactive,logit_stable,logit_close,D,LD_stateform,LD_reactive,LD_stateform_direct,LD_stateform_vs_close,LD_constform_vs_close,close_error
llama3.2-1b,useEffect,pair_01,pair_01_useEffect_c1,pair_01_c1,dep_reactive,reactive_first,dep_first,page,ref,page,ref,page,ref,True,True,True,first,first,"function Component() {
  const [page, setPage] = useState(1);
  const ref = 1;

  useEffect(() => {
    fetch(`/api?x=${page}&y=${ref}`);
  }, [",45,2964,1116,2964,1116,60,26.375,24.125,26.375,24.125,26.375,24.125,12.375,2.25,2.25,2.25,2.25,14.0,11.75,
llama3.2-1b,useEffect,pair_01,pair_01_useEffect_c2,pair_01_c2,dep_reactive,reactive_first,alt_first,page,ref,page,ref,page,ref,True,False,True,second,second,"function Component() {
  const [page, setPage] = useState(1);
  const ref = 1;

  useEffect(() => {
    fetch(`/api?x=${ref}&y=${page}`);
  }, [",45,2964,1116,2964,1116,60,25.875,25.75,25.875,25.75,25.875,25.75,12.3125,0.125,0.125,0.125,0.125,13.5625,13.4375,
llama3.2-1b,useEffect,pair_01,pair_01_useEffect_c3,pair_01_c3,dep_reactive,stable_first,dep_first,page,ref,page,ref,page,ref,True,True,False,first,first,"function Component() {
  const ref = 1;
  const [page, setPage] = useState(1);

  useEffect(() => {
    fetch(`/api?x=${page}&y=${ref}`);
  }, [",45,2964,1116,2964,1116,60,26.375,24.875,26.375,24.875,26.375,24.875,12.125,1.5,1.5,1.5,1.5,14.25,12.75,
llama3.2-1b,useEffect,pair_01,pair_01_useEffect_c4,pair_01_c4,dep_reactive,stable_first,alt_first,page,ref,page,ref,page,ref,True,False,False,second,second,"function Component() {
  const ref = 1;
  const [page, setPage] = useState(1);

  useEffect(() => {
    fetch(`/api?x=${ref}&y=${page}`);
  }, [",45,2964,1116,2964,1116,60,25.875,26.125,25.875,26.125,25.875,26.125,12.125,-0.25,-0.25,-0.25,-0.25,13.75,14.0,
llama3.2-1b,useEffect,pair_01,pair_01_useEffect_c5,pair_01_c5,alt_reactive,reactive_first,dep_first,page,ref,ref,page,ref,page,False,True,False,second,second,"function Component() {
  const [ref, setRef] = useState(1);
  const page = 1;

  useEffect(() => {
    fetch(`/api?x=${page}&y=${ref}`);
  }, [",46,2964,1116,1116,2964,60,26.5,26.0,26.0,26.5,26.0,26.5,12.625,0.5,-0.5,-0.5,-0.5,13.375,13.875,
llama3.2-1b,useEffect,pair_01,pair_01_useEffect_c6,pair_01_c6,alt_reactive,reactive_first,alt_first,page,ref,ref,page,ref,page,False,False,False,first,first,"function Component() {
  const [ref, setRef] = useState(1);
  const page = 1;

  useEffect(() => {
    fetch(`/api?x=${ref}&y=${page}`);
  }, [",46,2964,1116,1116,2964,60,25.375,27.125,27.125,25.375,27.125,25.375,12.5,-1.75,1.75,1.75,1.75,14.625,12.875,
llama3.2-1b,useEffect,pair_01,pair_01_useEffect_c7,pair_01_c7,alt_reactive,stable_first,dep_first,page,ref,ref,page,ref,page,False,True,True,second,second,"function Component() {
  const page = 1;
  const [ref, setRef] = useState(1);

  useEffect(() => {
    fetch(`/api?x=${page}&y=${ref}`);
  }, [",46,2964,1116,1116,2964,60,26.875,26.0,26.0,26.875,26.0,26.875,12.875,0.875,-0.875,-0.875,-0.875,13.125,14.0,
llama3.2-1b,useEffect,pair_01,pair_01_useEffect_c8,pair_01_c8,alt_reactive,stable_first,alt_first,page,ref,ref,page,ref,page,False,False,True,first,first,"function Component() {
  const page = 1;
  const [ref, setRef] = useState(1);

  useEffect(() => {
    fetch(`/api?x=${ref}&y=${page}`);
  }, [",46,2964,1116,1116,2964,60,25.875,27.25,27.25,25.875,27.25,25.875,12.875,-1.375,1.375,1.375,1.375,14.375,13.0,
llama3.2-1b,useLayoutEffect,pair_01,pair_01_useLayoutEffect_c1,pair_01_c1,dep_reactive,reactive_first,dep_first,page,ref,page,ref,page,ref,True,True,True,first,first,"function Component() {
  const [page, setPage] = useState(1);
  const ref = 1;

  useLayoutEffect(() => {
    fetch(`/api?x=${page}&y=${ref}`);
  }, [",47,2964,1116,2964,1116,60,26.125,24.0,26.125,24.0,26.125,24.0,12.875,2.125,2.125,2.125,2.125,13.25,11.125,
llama3.2-1b,useLayoutEffect,pair_01,pair_01_useLayoutEffect_c2,pair_01_c2,dep_reactive,reactive_first,alt_first,page,ref,page,ref,page,ref,True,False,True,second,second,"function Component() {
  const [page, setPage] = useState(1);
  const ref = 1;

  useLayoutEffect(() => {
    fetch(`/api?x=${ref}&y=${page}`);
  }, [",47,2964,1116,2964,1116,60,25.75,25.75,25.75,25.75,25.75,25.75,12.625,0.0,0.0,0.0,0.0,13.125,13.125,
llama3.2-1b,useLayoutEffect,pair_01,pair_01_useLayoutEffect_c3,pair_01_c3,dep_reactive,stable_first,dep_first,page,ref,page,ref,page,ref,True,True,False,first,first,"function Component() {
  const ref = 1;
  const [page, setPage] = useState(1);

  useLayoutEffect(() => {
    fetch(`/api?x=${page}&y=${ref}`);
  }, [",47,2964,1116,2964,1116,60,26.125,24.625,26.125,24.625,26.125,24.625,12.5,1.5,1.5,1.5,1.5,13.625,12.125,
llama3.2-1b,useLayoutEffect,pair_01,pair_01_useLayoutEffect_c4,pair_01_c4,dep_reactive,stable_first,alt_first,page,ref,page,ref,page,ref,True,False,False,second,second,"function Component() {
  const ref = 1;
  const [page, setPage] = useState(1);

  useLayoutEffect(() => {
    fetch(`/api?x=${ref}&y=${page}`);
  }, [",47,2964,1116,2964,1116,60,25.5,26.0,25.5,26.0,25.5,26.0,12.3125,-0.5,-0.5,-0.5,-0.5,13.1875,13.6875,
llama3.2-1b,useLayoutEffect,pair_01,pair_01_useLayoutEffect_c5,pair_01_c5,alt_reactive,reactive_first,dep_first,page,ref,ref,page,ref,page,False,True,False,second,second,"function Component() {
  const [ref, setRef] = useState(1);
  const page = 1;

  useLayoutEffect(() => {
    fetch(`/api?x=${page}&y=${ref}`);
  }, [",48,2964,1116,1116,2964,60,26.5,25.875,25.875,26.5,25.875,26.5,13.0625,0.625,-0.625,-0.625,-0.625,12.8125,13.4375,
llama3.2-1b,useLayoutEffect,pair_01,pair_01_useLayoutEffect_c6,pair_01_c6,alt_reactive,reactive_first,alt_first,page,ref,ref,page,ref,page,False,False,False,first,first,"function Component() {
  const [ref, setRef] = useState(1);
  const page = 1;

  useLayoutEffect(() => {
    fetch(`/api?x=${ref}&y=${page}`);
  }, [",48,2964,1116,1116,2964,60,25.25,27.0,27.0,25.25,27.0,25.25,13.0625,-1.75,1.75,1.75,1.75,13.9375,12.1875,
llama3.2-1b,useLayoutEffect,pair_01,pair_01_useLayoutEffect_c7,pair_01_c7,alt_reactive,stable_first,dep_first,page,ref,ref,page,ref,page,False,True,True,second,second,"function Component() {
  const page = 1;
  const [ref, setRef] = useState(1);

  useLayoutEffect(() => {
    fetch(`/api?x=${page}&y=${ref}`);
  }, [",48,2964,1116,1116,2964,60,26.625,25.75,25.75,26.625,25.75,26.625,13.125,0.875,-0.875,-0.875,-0.875,12.625,13.5,
llama3.2-1b,useLayoutEffect,pair_01,pair_01_useLayoutEffect_c8,pair_01_c8,alt_reactive,stable_first,alt_first,page,ref,ref,page,ref,page,False,False,True,first,first,"function Component() {
  const page = 1;
  const [ref, setRef] = useState(1);

  useLayoutEffect(() => {
    fetch(`/api?x=${ref}&y=${page}`);
  }, [",48,2964,1116,1116,2964,60,25.625,27.25,27.25,25.625,27.25,25.625,13.1875,-1.625,1.625,1.625,1.625,14.0625,12.4375,
llama3.2-1b,alias,pair_01,pair_01_alias_c1,pair_01_c1,dep_reactive,reactive_first,dep_first,page,ref,page,ref,page,ref,True,True,True,first,first,"const myEffect = useEffect;

function Component() {
  const [page, setPage] = useState(1);
  const ref = 1;

  myEffect(() => {
    fetch(`/api?x=${page}&y=${ref}`);
  }, [",52,2964,1116,2964,1116,60,26.0,23.25,26.0,23.25,26.0,23.25,12.25,2.75,2.75,2.75,2.75,13.75,11.0,
llama3.2-1b,alias,pair_01,pair_01_alias_c2,pair_01_c2,dep_reactive,reactive_first,alt_first,page,ref,page,ref,page,ref,True,False,True,second,second,"const myEffect = useEffect;

function Component() {
  const [page, setPage] = useState(1);
  const ref = 1;

  myEffect(() => {
    fetch(`/api?x=${ref}&y=${page}`);
  }, [",52,2964,1116,2964,1116,60,25.5,25.375,25.5,25.375,25.5,25.375,12.25,0.125,0.125,0.125,0.125,13.25,13.125,
