model,condition,pair_id,D__sr=alt_reactive|do=reactive_first|bo=alt_first,D__sr=alt_reactive|do=reactive_first|bo=dep_first,D__sr=alt_reactive|do=stable_first|bo=alt_first,D__sr=alt_reactive|do=stable_first|bo=dep_first,D__sr=dep_reactive|do=reactive_first|bo=alt_first,D__sr=dep_reactive|do=reactive_first|bo=dep_first,D__sr=dep_reactive|do=stable_first|bo=alt_first,D__sr=dep_reactive|do=stable_first|bo=dep_first,LD_reactive__sr=alt_reactive|do=reactive_first|bo=alt_first,LD_reactive__sr=alt_reactive|do=reactive_first|bo=dep_first,LD_reactive__sr=alt_reactive|do=stable_first|bo=alt_first,LD_reactive__sr=alt_reactive|do=stable_first|bo=dep_first,LD_reactive__sr=dep_reactive|do=reactive_first|bo=alt_first,LD_reactive__sr=dep_reactive|do=reactive_first|bo=dep_first,LD_reactive__sr=dep_reactive|do=stable_first|bo=alt_first,LD_reactive__sr=dep_reactive|do=stable_first|bo=dep_first,LD_stateform__sr=alt_reactive|do=reactive_first|bo=alt_first,LD_stateform__sr=alt_reactive|do=reactive_first|bo=dep_first,LD_stateform__sr=alt_reactive|do=stable_first|bo=alt_first,LD_stateform__sr=alt_reactive|do=stable_first|bo=dep_first,LD_stateform__sr=dep_reactive|do=reactive_first|bo=alt_first,LD_stateform__sr=dep_reactive|do=reactive_first|bo=dep_first,LD_stateform__sr=dep_reactive|do=stable_first|bo=alt_first,LD_stateform__sr=dep_reactive|do=stable_first|bo=dep_first,logit_alt__sr=alt_reactive|do=reactive_first|bo=alt_first,logit_alt__sr=alt_reactive|do=reactive_first|bo=dep_first,logit_alt__sr=alt_reactive|do=stable_first|bo=alt_first,logit_alt__sr=alt_reactive|do=stable_first|bo=dep_first,logit_alt__sr=dep_reactive|do=reactive_first|bo=alt_first,logit_alt__sr=dep_reactive|do=reactive_first|bo=dep_first,logit_alt__sr=dep_reactive|do=stable_first|bo=alt_first,logit_alt__sr=dep_reactive|do=stable_first|bo=dep_first,logit_close__sr=alt_reactive|do=reactive_first|bo=alt_first,logit_close__sr=alt_reactive|do=reactive_first|bo=dep_first,logit_close__sr=alt_reactive|do=stable_first|bo=alt_first,logit_close__sr=alt_reactive|do=stable_first|bo=dep_first,logit_close__sr=dep_reactive|do=reactive_first|bo=alt_first,logit_close__sr=dep_reactive|do=reactive_first|bo=dep_first,logit_close__sr=dep_reactive|do=stable_first|bo=alt_first,logit_close__sr=dep_reactive|do=stable_first|bo=dep_first,logit_const_form__sr=alt_reactive|do=reactive_first|bo=alt_first,logit_const_form__sr=alt_reactive|do=reactive_first|bo=dep_first,logit_const_form__sr=alt_reactive|do=stable_first|bo=alt_first,logit_const_form__sr=alt_reactive|do=stable_first|bo=dep_first,logit_const_form__sr=dep_reactive|do=reactive_first|bo=alt_first,logit_const_form__sr=dep_reactive|do=reactive_first|bo=dep_first,logit_const_form__sr=dep_reactive|do=stable_first|bo=alt_first,logit_const_form__sr=dep_reactive|do=stable_first|bo=dep_first,logit_dep__sr=alt_reactive|do=reactive_first|bo=alt_first,logit_dep__sr=alt_reactive|do=reactive_first|bo=dep_first,logit_dep__sr=alt_reactive|do=stable_first|bo=alt_first,logit_dep__sr=alt_reactive|do=stable_first|bo=dep_first,logit_dep__sr=dep_reactive|do=reactive_first|bo=alt_first,logit_dep__sr=dep_reactive|do=reactive_first|bo=dep_first,logit_dep__sr=dep_reactive|do=stable_first|bo=alt_first,logit_dep__sr=dep_reactive|do=stable_first|bo=dep_first,logit_useState_form__sr=alt_reactive|do=reactive_first|bo=alt_first,logit_useState_form__sr=alt_reactive|do=reactive_first|bo=dep_first,logit_useState_form__sr=alt_reactive|do=stable_first|bo=alt_first,logit_useState_form__sr=alt_reactive|do=stable_first|bo=dep_first,logit_useState_form__sr=dep_reactive|do=reactive_first|bo=alt_first,logit_useState_form__sr=dep_reactive|do=reactive_first|bo=dep_first,logit_useState_form__sr=dep_reactive|do=stable_first|bo=alt_first,logit_useState_form__sr=dep_reactive|do=stable_first|bo=dep_first,mean_LD_stateform_pair,n_cells
gemma3-1b-pt,alias,pair_01,-1.75,0.0,-0.625,0.875,0.125,2.25,-0.75,1.625,1.75,-0.0,0.625,-0.875,0.125,2.25,-0.75,1.625,1.75,-0.0,0.625,-0.875,0.125,2.25,-0.75,1.625,20.125,19.75,20.25,19.375,19.5,18.25,20.25,19.0,8.1875,8.0625,8.375,8.5,7.78125,7.90625,8.0,7.875,18.375,19.75,19.625,20.25,19.5,18.25,20.25,19.0,18.375,19.75,19.625,20.25,19.625,20.5,19.5,20.625,20.125,19.75,20.25,19.375,19.625,20.5,19.5,20.625,0.59375,8
gemma3-1b-pt,alias,pair_02,-1.875,1.0,-1.625,1.125,-0.625,2.5,-1.0,1.75,1.875,-1.0,1.625,-1.125,-0.625,2.5,-1.0,1.75,1.875,-1.0,1.625,-1.125,-0.625,2.5,-1.0,1.75,19.25,18.25,19.375,18.375,18.625,17.25,18.875,17.625,6.625,6.84375,6.6875,6.875,6.6875,6.71875,6.84375,6.90625,17.375,19.25,17.75,19.5,18.625,17.25,18.875,17.625,17.375,19.25,17.75,19.5,18.0,19.75,17.875,19.375,19.25,18.25,19.375,18.375,18.0,19.75,17.875,19.375,0.5,8
gemma3-1b-pt,alias,pair_03,-0.625,1.5,-0.25,1.5,-0.25,1.5,0.25,1.375,0.625,-1.5,0.25,-1.5,-0.25,1.5,0.25,1.375,0.625,-1.5,0.25,-1.5,-0.25,1.5,0.25,1.375,19.75,18.75,19.875,18.75,19.625,18.75,19.5,18.75,6.8125,7.0625,6.65625,6.90625,6.09375,6.1875,6.375,6.5625,19.125,20.25,19.625,20.25,19.625,18.75,19.5,18.75,19.125,20.25,19.625,20.25,19.375,20.25,19.75,20.125,19.75,18.75,19.875,18.75,19.375,20.25,19.75,20.125,0.09375,8
gemma3-1b-pt,alias,pair_04,-0.875,0.75,-0.875,0.75,-0.375,0.875,-0.5,1.0,0.875,-0.75,0.875,-0.75,-0.375,0.875,-0.5,1.0,0.875,-0.75,0.875,-0.75,-0.375,0.875,-0.5,1.0,18.75,18.375,18.875,18.375,19.0,18.5,18.875,18.25,8.625,8.8125,8.75,9.0625,8.25,8.375,8.125,8.3125,17.875,19.125,18.0,19.125,19.0,18.5,18.875,18.25,17.875,19.125,18.0,19.125,18.625,19.375,18.375,19.25,18.75,18.375,18.875,18.375,18.625,19.375,18.375,19.25,0.15625,8
gemma3-1b-pt,alias,pair_05,-2.0,0.5,-1.625,0.5,-0.75,1.5,-0.125,1.875,2.0,-0.5,1.625,-0.5,-0.75,1.5,-0.125,1.875,2.0,-0.5,1.625,-0.5,-0.75,1.5,-0.125,1.875,20.25,19.0,20.375,19.25,20.0,18.625,19.625,18.25,6.96875,6.75,6.875,6.875,6.46875,6.40625,6.8125,6.75,18.25,19.5,18.75,19.75,20.0,18.625,19.625,18.25,18.25,19.5,18.75,19.75,19.25,20.125,19.5,20.125,20.25,19.0,20.375,19.25,19.25,20.125,19.5,20.125,0.640625,8
gemma3-1b-pt,alias,pair_06,-2.75,-0.625,-2.0,-0.25,-0.75,0.625,-1.875,-0.125,2.75,0.625,2.0,0.25,-0.75,0.625,-1.875,-0.125,2.75,0.625,2.0,0.25,-0.75,0.625,-1.875,-0.125,20.125,19.375,20.0,19.25,19.625,18.75,20.0,19.375,8.125,8.3125,8.0625,8.375,8.125,8.125,8.125,8.125,17.375,18.75,18.0,19.0,19.625,18.75,20.0,19.375,17.375,18.75,18.0,19.0,18.875,19.375,18.125,19.25,20.125,19.375,20.0,19.25,18.875,19.375,18.125,19.25,0.4375,8
gemma3-1b-pt,alias,pair_07,-2.375,0.5,-0.75,1.625,0.375,2.375,-0.375,1.375,2.375,-0.5,0.75,-1.625,0.375,2.375,-0.375,1.375,2.375,-0.5,0.75,-1.625,0.375,2.375,-0.375,1.375,19.5,18.875,19.5,18.5,18.875,17.75,19.25,18.625,7.8125,7.5625,7.90625,7.8125,7.3125,7.28125,7.40625,7.34375,17.125,19.375,18.75,20.125,18.875,17.75,19.25,18.625,17.125,19.375,18.75,20.125,19.25,20.125,18.875,20.0,19.5,18.875,19.5,18.5,19.25,20.125,18.875,20.0,0.59375,8
gemma3-1b-pt,alias,pair_08,-2.75,0.125,-1.5,1.0,-0.125,2.125,-0.625,1.25,2.75,-0.125,1.5,-1.0,-0.125,2.125,-0.625,1.25,2.75,-0.125,1.5,-1.0,-0.125,2.125,-0.625,1.25,19.875,18.875,19.625,18.625,18.875,17.625,19.375,18.625,7.59375,7.75,7.65625,7.9375,7.375,7.5,7.5,7.71875,17.125,19.0,18.125,19.625,18.875,17.625,19.375,18.625,17.125,19.0,18.125,19.625,18.75,19.75,18.75,19.875,19.875,18.875,19.625,18.625,18.75,19.75,18.75,19.875,0.71875,8
gemma3-1b-pt,alias,pair_09,-2.125,1.25,-2.125,1.0,-1.375,0.625,-1.375,0.875,2.125,-1.25,2.125,-1.0,-1.375,0.625,-1.375,0.875,2.125,-1.25,2.125,-1.0,-1.375,0.625,-1.375,0.875,19.875,18.375,20.125,18.75,19.625,18.75,19.75,18.625,7.53125,7.5,7.9375,8.0,7.03125,7.0,7.125,7.1875,17.75,19.625,18.0,19.75,19.625,18.75,19.75,18.625,17.75,19.625,18.0,19.75,18.25,19.375,18.375,19.5,19.875,18.375,20.125,18.75,18.25,19.375,18.375,19.5,0.09375,8
gemma3-1b-pt,alias,pair_10,-2.125,-0.625,-1.75,-0.125,0.25,1.375,-0.75,0.625,2.125,0.625,1.75,0.125,0.25,1.375,-0.75,0.625,2.125,0.625,1.75,0.125,0.25,1.375,-0.75,0.625,20.0,19.5,20.0,19.375,18.625,17.875,19.125,18.625,7.875,8.0,8.1875,8.25,7.59375,7.5,7.625,7.5625,17.875,18.875,18.25,19.25,18.625,17.875,19.125,18.625,17.875,18.875,18.25,19.25,18.875,19.25,18.375,19.25,20.0,19.5,20.0,19.375,18.875,19.25,18.375,19.25,0.765625,8
