model,pair_id,cell_id,state_role,decl_order,body_order,reactive_var,stable_var,reactive_body_pos,prefix,n_tokens,reactive_id,stable_id,close_id,logit_reactive,logit_stable,logit_close,LD_reactive,LD_reactive_vs_close,LD_stable_vs_close,close_error
llama3.2-1b,pair_01,pair_01_c1,dep_reactive,reactive_first,dep_first,page,ref,first,"function Component() {
  const [page, setPage] = useState(1);
  const ref = 1;

  useEffect(() => {
    fetch(`/api?x=${page}&y=${ref}`);
  }, [",45,2964,1116,60,26.24774932861328,24.11914825439453,12.353182792663574,2.12860107421875,13.894566535949707,11.765965461730957,
llama3.2-1b,pair_01,pair_01_c2,dep_reactive,reactive_first,alt_first,page,ref,second,"function Component() {
  const [page, setPage] = useState(1);
  const ref = 1;

  useEffect(() => {
    fetch(`/api?x=${ref}&y=${page}`);
  }, [",45,2964,1116,60,25.89632225036621,25.81287956237793,12.245904922485352,0.08344268798828125,13.65041732788086,13.566974639892578,
llama3.2-1b,pair_01,pair_01_c3,dep_reactive,stable_first,dep_first,page,ref,first,"function Component() {
  const ref = 1;
  const [page, setPage] = useState(1);

  useEffect(() => {
    fetch(`/api?x=${page}&y=${ref}`);
  }, [",45,2964,1116,60,26.298126220703125,24.71940040588379,12.167810440063477,1.578725814819336,14.130315780639648,12.551589965820312,
llama3.2-1b,pair_01,pair_01_c4,dep_reactive,stable_first,alt_first,page,ref,second,"function Component() {
  const ref = 1;
  const [page, setPage] = useState(1);

  useEffect(() => {
    fetch(`/api?x=${ref}&y=${page}`);
  }, [",45,2964,1116,60,25.83453369140625,26.051177978515625,12.116522789001465,-0.216644287109375,13.718010902404785,13.93465518951416,
llama3.2-1b,pair_01,pair_01_c5,alt_reactive,reactive_first,dep_first,ref,page,second,"function Component() {
  const [ref, setRef] = useState(1);
  const page = 1;

  useEffect(() => {
    fetch(`/api?x=${page}&y=${ref}`);
  }, [",46,1116,2964,60,25.98929214477539,26.502105712890625,12.5801362991333,-0.5128135681152344,13.40915584564209,13.921969413757324,
llama3.2-1b,pair_01,pair_01_c6,alt_reactive,reactive_first,alt_first,ref,page,first,"function Component() {
  const [ref, setRef] = useState(1);
  const page = 1;

  useEffect(() => {
    fetch(`/api?x=${ref}&y=${page}`);
  }, [",46,1116,2964,60,27.131881713867188,25.361648559570312,12.531299591064453,1.770233154296875,14.600582122802734,12.83034896850586,
llama3.2-1b,pair_01,pair_01_c7,alt_reactive,stable_first,dep_first,ref,page,second,"function Component() {
  const page = 1;
  const [ref, setRef] = useState(1);

  useEffect(() => {
    fetch(`/api?x=${page}&y=${ref}`);
  }, [",46,1116,2964,60,25.97100067138672,26.79132080078125,12.831999778747559,-0.8203201293945312,13.13900089263916,13.959321022033691,
llama3.2-1b,pair_01,pair_01_c8,alt_reactive,stable_first,alt_first,ref,page,first,"function Component() {
  const page = 1;
  const [ref, setRef] = useState(1);

  useEffect(() => {
    fetch(`/api?x=${ref}&y=${page}`);
  }, [",46,1116,2964,60,27.312034606933594,25.802732467651367,12.857705116271973,1.5093021392822266,14.454329490661621,12.945027351379395,
llama3.2-1b,pair_02,pair_02_c1,dep_reactive,reactive_first,dep_first,status,cap,first,"function Component() {
  const [status, setStatus] = useState(false);
  const cap = false;

  useEffect(() => {
    fetch(`/api?x=${status}&y=${cap}`);
  }, [",43,2899,11600,60,26.466947555541992,22.4995174407959,12.201364517211914,3.9674301147460938,14.265583038330078,10.298152923583984,
llama3.2-1b,pair_02,pair_02_c2,dep_reactive,reactive_first,alt_first,status,cap,second,"function Component() {
  const [status, setStatus] = useState(false);
  const cap = false;

  useEffect(() => {
    fetch(`/api?x=${cap}&y=${status}`);
  }, [",43,2899,11600,60,25.729881286621094,24.741497039794922,12.440138816833496,0.9883842468261719,13.289742469787598,12.301358222961426,
